"SÈlectif RÈgional Slalom (Double) - 10000 Troyes - Course n∞2 - 2023-09-16","10000 Troyes","Course n∞2","","2023-09-16","RÈgional","139"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Lucille Meunier-cheyssac","C1D","130.47","595.73","491.08",""
"Anais Haton","C1D","133.36","442.88","523.5",""
"Eva Mirguet Montoya","C1D","134.64","553.53","537.86",""
"Lili Ulmer","C1D","138.05","561.53","576.12",""
"Sybille Balland","C1D","155.66","961.95","773.69",""
"Cathilya Talon","C1D","163.1","1014.31","857.16",""
"Calie Lang","C1D","164.08","1233.71","868.15",""
"Camille Lemal","C1D","174.49","930.96","984.94",""
"Mattea Hannequin","C1D","179.43","413.64","1040.37",""
"Ariane Thuillier","C1D","185.6","996.74","1109.6",""
"Theo Reby","C1H","102.69","320.91","343.99",""
"Emilien Kempf","C1H","102.96","200.36","347.45",""
"Alois Brucher","C1H","106.99","214.1","399.12",""
"Thibaut Boudier","C1H","111.75","361.44","460.17",""
"Gr…goire Fontan","C1H","117.45","511.78","533.24",""
"Romain Moret","C1H","117.55","408.61","534.52",""
"Baptiste Albert","C1H","118.7","569.24","549.28",""
"Benjamin Moggs","C1H","118.92","743.39","552.09",""
"Louis Arribe","C1H","119.11","532.63","554.53",""
"Thomas Argenson","C1H","119.25","670.43","556.32",""
"Sebastien De Berchem","C1H","121.53","618.86","585.56",""
"Axel Guilleret","C1H","122.13","663.66","593.25",""
"Thibaud Schaefer","C1H","127.35","752.97","660.19",""
"Ronan Poret","C1H","131.14","725.71","708.77",""
"Clement Dufraine","C1H","131.67","653.33","715.57",""
"Jules Dolisy","C1H","134.0","657.81","745.45",""
"Luc Gardan","C1H","135.73","1046.58","767.64",""
"Theophile Vincent","C1H","137.92","827.44","795.71",""
"Jacques Nardeau","C1H","140.47","739.02","828.41",""
"Ethan Cerf","C1H","140.99","882.19","835.07",""
"Pol Guivarch","C1H","142.42","1039.03","853.41",""
"Noah Prompt","C1H","144.01","884.18","873.79",""
"Ilian Parisot","C1H","145.13","814.46","888.16",""
"Owen Chalons","C1H","150.29","1163.54","954.31",""
"Victor-antoine Roussel","C1H","153.13","1121.29","990.73",""
"Liam Simon","C1H","153.28","753.29","992.66",""
"Corentin Brunhoso","C1H","162.02","1060.8","1104.72",""
"Victor Valensi","C1H","166.28","1200.88","1159.34",""
"NathanaÀl Diseurs","C1H","167.34","1290.96","1172.93",""
"Quentin Kluba","C1H","167.42","1400.15","1173.97",""
"Valentin Clement","C1H","168.91","838.27","1193.07",""
"Benoit Capitaine","C1H","171.28","1198.34","1223.46",""
"Amaury Brucher","C1H","176.76","462.88","1293.72",""
"Boris Bonenfant","C1H","212.91","857.73","1757.23",""
"Olivier Bonnet","C1H","232.55","1414.25","2009.05",""
"Oscar Marchal","C1H","236.71","2281.64","2062.39",""
"Cathilya Talon-Celestine Breney","C2D","204.47","1439.66","1144.84",""
"Mattea Hannequin-Lison Marchal","C2D","272.98","1086.0","1854.35",""
"Antonin Robert-Romain Moret","C2H","156.88","903.61","947.38",""
"Gr…goire Fontan-Baptiste Albert","C2H","167.45","919.2","1076.75",""
"Oscar Marchal-Owen Chalons","C2H","189.7","2821.94","1349.08",""
"Arnaud Geoffroy-Noah Prompt","C2H","208.9","1769.24","1584.06",""
"Baptiste Podor-Lucille Meunier-cheyssac","C2M","144.43","791.51","647.69",""
"Eva Mirguet Montoya-Gr…goire Fontan","C2M","161.45","934.83","838.65",""
"Thibaud Schaefer-Camille Lemal","C2M","181.94","1092.95","1068.54",""
"Mattea Hannequin-Jules Dolisy","C2M","197.03","1397.44","1237.83",""
"Thibaut Boudier-Lison Marchal","C2M","234.54","926.36","1658.66",""
"Lou Ann Dabin-Lilian Hlodan","C2M","375.94","1149.85","3245.06",""
"Caroline Bourry","K1D","110.3","305.36","341.44",""
"Eva Mirguet Montoya","K1D","116.29","352.47","412.82",""
