"Compétition Régionale de Slalom - 35510 Cesson Sevigne - Course n°2 - 2023-09-17","35510 Cesson Sevigne","Course n°2","","2023-09-17","Régional","259"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"LÉna Quemerais","C1D","116.48","207.12","257.29",""
"Eva Marchand","C1D","129.7","339.67","396.03",""
"Honorine Pichard","C1D","138.57","314.83","489.12",""
"Laurette Laly","C1D","142.07","352.11","525.85",""
"Emma Pouilly","C1D","152.87","483.39","639.2",""
"Nina Vandame","C1D","160.46","546.29","718.85",""
"Oceane Sedrue","C1D","169.97","479.23","818.65",""
"Romane Regnier","C1D","175.48","168.06","876.47",""
"Emilie Moret","C1D","180.17","302.39","925.7",""
"Rachel Clavreul-zerbib","C1D","184.9","635.74","975.33",""
"Callie Leroy","C1D","202.8","657.2","1163.18",""
"Angele Mousson","C1D","219.35","-","1336.87",""
"Margot Maheut","C1D","246.63","752.67","1623.16",""
"Lucie Delvalle","C1D","268.88","649.69","1856.67",""
"Noemie Herpin","C1D","282.22","789.26","1996.66",""
"Klara Lubin","C1D","311.77","645.07","2306.77",""
"Lenaig Le Felt","C1D","386.25","801.06","3088.41",""
"Corentin Oulhen","C1H","92.77","174.68","147.55",""
"Glen Le Meur","C1H","93.15","118.95","152.11",""
"Elouan Debliquy","C1H","93.67","133.81","158.34",""
"Tanguy Adisson","C1H","95.04","85.99","174.78",""
"Valentin Marteil","C1H","96.82","97.07","196.13",""
"Emilien Courtiade","C1H","97.78","205.12","207.64",""
"Tomy Dandonneau","C1H","98.09","202.21","211.36",""
"Gireg Hamoniaux","C1H","98.37","180.54","214.72",""
"Nicolas Ducrocq","C1H","99.46","196.56","227.79",""
"Faysal Ali Zazou","C1H","101.99","365.69","258.13",""
"Louison Decarsin","C1H","103.41","203.4","275.16",""
"Axel Brossat","C1H","108.79","268.58","339.7",""
"Sacha Menard","C1H","109.6","371.29","349.41",""
"Maxime Metay","C1H","114.77","400.63","411.42",""
