"CompÈtition RÈgionale de Slalom - 73700 Bourg Saint Maurice - Course n∞2 - 2023-09-17","73700 Bourg Saint Maurice","Course n∞2","","2023-09-17","RÈgional","110"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Jessica Duc","C1D","102.29","244.34","284.73",""
"Emmelyne Sauvagnac","C1D","105.44","441.33","323.48",""
"Elena Hugues","C1D","107.9","398.53","353.74",""
"Laura Lesches","C1D","111.65","532.68","399.86",""
"Marie - Lou Cote","C1D","224.77","706.92","1791.33",""
"Baptiste Delaplace","C1H","87.85","137.42","261.48",""
"Nicolas Fehlmann","C1H","89.44","364.78","283.83",""
"Patrick Gutknecht","C1H","90.93","302.58","304.78",""
"Arik Buetikofer","C1H","96.98","527.54","389.83",""
"Etienne Nardeau","C1H","97.07","395.59","391.1",""
"Alric Detheve","C1H","98.21","503.54","407.12",""
"Romain Bertrand","C1H","99.75","501.43","428.77",""
"Maxime Tilhet","C1H","100.48","589.37","439.03",""
"Titouan Carbon","C1H","100.56","462.19","440.16",""
"Paki Magnani","C1H","105.74","591.71","512.98",""
"Milo Oblinger","C1H","107.23","506.62","533.93",""
"Cedric Passas","C1H","109.05","537.33","559.51",""
"Gustave Gonseth","C1H","112.32","585.36","605.48",""
"YaÀl Normand","C1H","113.48","681.73","621.79",""
"Cedric Mace","C1H","121.68","647.28","737.07",""
"Pierre Merendet","C1H","136.35","919.01","943.3",""
"Timeo Triomphe","C1H","146.03","335.95","1079.38",""
"G…d…on Gonseth","C1H","147.41","514.46","1098.77",""
"Thomas Levert","C1H","159.11","398.27","1263.26",""
"Tom Leclercq-chabenat","C1H","166.55","600.22","1367.85",""
"Anneline Triomphe","K1D","96.52","207.99","287.3",""
"Jessica Duc","K1D","98.17","236.59","308.85",""
"Emmelyne Sauvagnac","K1D","101.47","375.55","351.96",""
"Laura Lesches","K1D","101.85","310.41","356.92",""
"Joey Bercon","K1D","103.29","324.42","375.74",""
"Marion Pasquali","K1D","103.72","580.47","381.35",""
"Elena Hugues","K1D","104.59","408.28","392.72",""
"Tiphaine Grillet","K1D","109.93","469.16","462.47",""
"Marie - Lou Cote","K1D","112.05","530.8","490.17",""
"Gladys Dupuis","K1D","113.9","587.7","514.33",""
