"Slalom Bertrand REALS sélectif régional (Double) - 34460 Cessenon Sur Orb - Course n°4 - 2023-09-24","34460 Cessenon Sur Orb","Course n°4","","2023-09-24","Régional","87"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emmelyne Sauvagnac","C1D","102.78","431.87","417.89",""
"Emilie Delahaye","C1D","109.97","436.32","512.74",""
"Melyne Tappero","C1D","159.05","927.15","1160.15",""
"Thomas Levert","C1H","91.71","398.27","444.69",""
"Joris Santoro","C1H","94.75","380.38","490.52",""
"Nicolas Feuillard","C1H","100.67","461.58","579.77",""
"Matteo Leman","C1H","101.15","547.75","587.0",""
"Malo Fouquet","C1H","104.31","569.69","634.64",""
"Arthur Dury","C1H","104.79","630.46","641.88",""
"Youri Goliard","C1H","108.59","481.21","699.16",""
"David Bernardeau","C1H","108.81","569.53","702.49",""
"Bernard Santoro","C1H","119.02","610.87","856.39",""
"Yannis Bouchalta","C1H","128.66","1013.07","1001.72",""
"Edouard Bonnamy","C1H","129.95","1151.3","1021.17",""
"Iwan Talieu","C1H","130.7","1634.96","1032.48",""
"Camille Saint Macary","C1H","131.01","1012.18","1037.15",""
"Mathias Villemus","C1H","134.23","1741.39","1085.69",""
"Noah Dubalen","C1H","136.63","952.14","1121.88",""
"Aurelien Merieux Danneaux","C1H","143.61","165.46","1227.1",""
"Come Lefebvre","C1H","179.2","1005.34","1763.64",""
"Nael Gabriel Rothmann","C1H","245.35","1356.09","2760.88",""
"Noa Verro","C1H","385.01","2171.44","4866.3",""
"Violaine Truche-Laetitia Thueux","C2D","135.9","625.63","716.88",""
"Thomas Retailleau-Yannis Bouchalta","C2H","156.89","2178.31","1319.79",""
"Clotilde Miclo","K1D","92.47","326.41","357.46",""
"Maeva Bachelot","K1D","92.67","279.93","360.26",""
"Marine Izac","K1D","99.78","435.55","459.86",""
"Emilie Delahaye","K1D","101.24","341.22","480.31",""
"Violaine Truche","K1D","105.7","397.07","542.78",""
"Laetitia Thueux","K1D","106.0","474.7","546.99",""
"Lise Denat","K1D","107.29","381.31","565.06",""
"Emmelyne Sauvagnac","K1D","107.68","375.55","570.52",""
"Elina Processe","K1D","118.78","924.02","726.01",""
"Rachel Magniez","K1D","120.03","907.27","743.52",""
"Melyne Tappero","K1D","120.56","687.5","750.94",""
"Mathilde Cavier","K1D","125.91","745.45","825.89",""
"Elodie Faure","K1D","131.56","678.96","905.04",""
"Annaelle Carayon","K1D","131.8","1465.99","908.39",""
"Melodie Bardollet","K1D","140.38","1119.27","1028.58",""
"Helene Merlet","K1D","144.51","711.73","1086.44",""
"Ambre Dantepal","K1D","167.59","1197.19","1409.75",""
"Ambre Serafin","K1D","323.15","4418.62","3588.84",""
"Aurelien Merieux Danneaux","K1H","82.28","334.04","364.55",""
"Leo Fournier","K1H","82.9","244.15","374.36",""
"Nicolas Feuillard","K1H","85.1","282.81","409.19",""
"Bastien Salame","K1H","85.93","348.19","422.33",""
"Matteo Leman","K1H","85.93","449.73","422.33",""
"Jeremie Palazy","K1H","88.35","401.11","460.63",""
"Ugo Rolland","K1H","88.54","398.98","463.64",""
"Malo Fouquet","K1H","89.08","503.03","472.19",""
"Louis Duffours","K1H","89.11","414.3","472.66",""
"Antoine Bazalgette Bissonnet","K1H","90.08","366.64","488.02",""
"Jean Philippe Roche","K1H","91.1","404.57","504.16",""
"Camille Saint Macary","K1H","91.61","475.96","512.24",""
"Thomas Crampes","K1H","91.64","305.95","512.71",""
"Guillaume Olive","K1H","93.66","608.93","544.69",""
"Jean Charles Creusot Walter","K1H","94.21","492.42","553.39",""
"Arthur Dury","K1H","95.12","484.54","567.8",""
"Thomas Retailleau","K1H","95.18","600.43","568.75",""
"Frederic Reus","K1H","97.33","598.48","602.78",""
"Luis Andre","K1H","99.53","601.12","637.6",""
"Jules Maitre","K1H","101.14","629.6","663.09",""
"Tristan Girou","K1H","101.38","612.33","666.89",""
"David Bernardeau","K1H","101.59","635.76","670.21",""
"Alexandre Hersant","K1H","102.37","907.97","682.56",""
"Yannis Bouchalta","K1H","102.72","713.22","688.1",""
"Come Lefebvre","K1H","105.5","840.42","732.1",""
"Lohan Redonnet","K1H","107.29","891.18","760.44",""
"Maxence Foucoin","K1H","109.96","952.47","802.7",""
"Nathanael Foucoin","K1H","113.43","1099.31","857.63",""
"Iwan Talieu","K1H","113.73","920.41","862.38",""
"Mathias Villemus","K1H","114.17","1107.6","869.34",""
"Noa Verro","K1H","114.76","906.47","878.68",""
"Maxime Sudrie","K1H","115.25","670.08","886.44",""
"Edouard Bonnamy","K1H","123.14","958.99","1011.33",""
"Noah Dubalen","K1H","123.26","933.59","1013.23",""
"Adam Benchakroune","K1H","124.71","1293.34","1036.18",""
"Leandre Kudell","K1H","125.72","1121.56","1052.17",""
"Matthieu Margherita","K1H","127.31","974.12","1077.34",""
"Michel Claveau","K1H","135.77","888.48","1211.25",""
"Gabriel Benedito-le Vourch","K1H","139.38","1829.14","1268.39",""
"Youri Goliard","K1H","143.89","443.41","1339.78",""
"Paul Warnier","K1H","159.9","660.67","1593.21",""
"Nael Gabriel Rothmann","K1H","170.99","1064.62","1768.75",""
"Nolann Levieux","K1H","187.15","1124.44","2024.55",""
"Loan Sayas","K1H","193.0","1580.5","2117.15",""
"Romeo Plazzi","K1H","262.86","1084.66","3222.98",""
