"Roahzon cup 4 course slalom et kayak cross Servon sur Vilaine - 35530 Servon Sur Vilaine - Course n∞1 - 2023-11-05 Course n∞1","35530 Servon Sur Vilaine","Course n∞1","","2023-11-05","RÈgional","176"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Romane Regnier","C1D","121.79","168.06","201.53",""
"Laurette Laly","C1D","132.49","352.11","304.51",""
"Eva Marchand","C1D","133.83","331.34","317.41",""
"Oceane Sedrue","C1D","135.15","516.93","330.12",""
"Nina Vandame","C1D","142.21","546.29","398.06",""
"Klara Lubin","C1D","143.71","645.07","412.5",""
"Blandine Xhemajlji","C1D","148.09","630.15","454.66",""
"Margot Maheut","C1D","168.17","735.51","647.93",""
"Angele Mousson","C1D","170.36","1091.87","669.01",""
"Lenaig Le Felt","C1D","176.86","801.06","731.57",""
"Maelle Tapon","C1D","201.76","877.69","971.23",""
"Angelique Durieux","C1D","340.82","4697.73","2309.67",""
"Jean Pierre Bourhis","C1H","104.69","85.88","180.89",""
"Glen Le Meur","C1H","105.37","96.12","188.36",""
"Louison Decarsin","C1H","107.97","203.4","216.97",""
"Corentin Oulhen","C1H","108.6","163.38","223.9",""
"Timothee Cornu","C1H","109.75","180.33","236.55",""
"Emilien Courtiade","C1H","110.45","199.77","244.24",""
"Lorin Dumont","C1H","119.19","382.82","340.38",""
"Gabin Mesnil","C1H","122.07","477.4","372.06",""
"Louis Beaumois","C1H","122.35","517.44","375.15",""
"Victor Julou Feger","C1H","125.95","457.07","414.74",""
"Noah Hebert","C1H","128.49","591.19","442.68",""
"Maxime Metay","C1H","130.33","400.63","462.93",""
"Antoine Martin","C1H","131.45","465.47","475.24",""
"Joachim Berthelot","C1H","135.23","466.92","516.82",""
"Oscar Mizzi","C1H","135.96","401.38","524.86",""
"Romain Margerie","C1H","136.65","476.99","532.45",""
"Florian Lohezic","C1H","137.31","728.64","539.7",""
"Thomas Hado","C1H","137.35","670.17","540.15",""
"Loan Beaucourt","C1H","137.89","578.47","546.09",""
"Cedric Collet","C1H","138.25","596.9","550.05",""
"Dylan Moreira","C1H","143.46","868.79","607.36",""
"Duncan Coppens","C1H","144.16","1180.27","615.05",""
"Nino Pontillo","C1H","146.82","805.58","644.32",""
"Charly Line","C1H","149.69","898.65","675.88",""
"Arthur Malard","C1H","150.46","620.11","684.35",""
"Titouan Collet","C1H","151.33","798.84","693.93",""
"Maxence Quillere","C1H","153.86","618.06","721.75",""
"Basile Soyer","C1H","154.76","738.77","731.65",""
"Alexis Moello","C1H","169.32","1108.17","891.81",""
"Ga tan Le Roy","C1H","175.86","1214.6","963.75",""
"Noe Beaucourt","C1H","179.13","1074.52","999.72",""
"Titouan Beaumois","C1H","183.69","1674.81","1049.88",""
"Jules Le Nevez","C1H","193.61","520.59","1158.99",""
"Max Lekeux","C1H","204.07","1419.2","1274.05",""
"Sasha Pontillo","C1H","208.69","1796.43","1324.87",""
"Lilian Paton","C1H","209.46","1623.67","1333.35",""
"Theo Huet","C1H","241.51","-","1685.9",""
"Jules Vanderhaghen","C1H","326.55","-","2621.32",""
"Klara Lubin-Lenaig Le Felt","C2D","212.19","1005.64","914.52",""
"Victor Julou Feger-Loan Beaucourt","C2H","147.74","550.9","580.56",""
"Killian Flegeau-Simon Le Nevez","C2H","204.57","-","1177.28",""
"Titouan Collet-Juliette Gohin","C2M","191.45","966.96","872.0",""
"Romane Regnier","K1D","121.93","160.82","275.58",""
"Laurette Laly","K1D","123.68","289.65","293.46",""
"Oceane Sedrue","K1D","128.92","373.69","347.01",""
"Eva Marchand","K1D","130.35","289.26","361.64",""
"Sarah Despres","K1D","131.73","546.73","375.74",""
"Kim Agnimo Seyer","K1D","135.94","479.01","418.77",""
"Laurie Beaurepere","K1D","136.05","437.39","419.89",""
"Nina Vandame","K1D","138.12","419.05","441.05",""
"Maela Le Corre","K1D","138.14","446.12","441.26",""
"Clara Perrot","K1D","139.12","440.05","451.27",""
"Clara Grangeon","K1D","139.69","487.11","457.09",""
"Klara Lubin","K1D","143.86","464.61","499.73",""
"Maina Maligorne","K1D","145.66","462.54","518.12",""
"Margot Maheut","K1D","148.81","715.89","550.31",""
"Lenaig Le Felt","K1D","151.73","628.45","580.16",""
"Maelle Tapon","K1D","151.93","776.75","582.2",""
"Angele Mousson","K1D","152.35","796.77","586.5",""
"Juliette Gohin","K1D","155.79","795.64","621.66",""
"Abigaelle Le Corre","K1D","163.75","1496.14","703.01",""
"Gwendoline Hall","K1D","165.55","571.72","721.41",""
"Lola Ollivier","K1D","177.78","-","846.42",""
"Blandine Xhemajlji","K1D","178.9","435.84","857.88",""
"Laurine Le Loc'h","K1D","184.77","1794.31","917.87",""
"Aurelie Hall","K1D","185.26","749.25","922.88",""
"Zoe Guyomard","K1D","254.03","3695.44","1625.78",""
"Angelique Durieux","K1D","353.83","3012.71","2645.85",""
"Melodie Guillouzo","K1D","485.2","1795.45","3988.61",""
"Martin Cornu","K1H","92.97","56.44","103.1",""
"Jonas Le Guen","K1H","94.32","115.28","118.7",""
"Etienne Wiche","K1H","98.55","315.3","167.55",""
"Timothee Cornu","K1H","102.31","464.46","210.98",""
"Anthony Drouhin","K1H","102.72","239.61","215.71",""
"Louison Decarsin","K1H","104.35","240.5","234.54",""
"Nour Ait Kaddour","K1H","105.53","250.09","248.17",""
"Glen Le Meur","K1H","107.29","295.0","268.5",""
"Louka Molina-combot","K1H","108.18","366.44","278.78",""
"Lorin Dumont","K1H","108.99","320.49","288.13",""
"Loan Queffelec","K1H","109.49","528.65","293.91",""
"Maxence Quillere","K1H","109.77","385.0","297.14",""
"Celio Chevallier","K1H","109.85","285.74","298.06",""
"Simon Le Nevez","K1H","110.02","232.06","300.03",""
"Pacome Michel","K1H","110.68","400.62","307.65",""
"Gurvan Piton","K1H","111.98","310.47","322.67",""
"Pierre Audouin","K1H","112.82","379.95","332.37",""
"Liam Le Touze","K1H","113.14","260.18","336.06",""
"Malo Lajoye","K1H","113.43","265.07","339.41",""
"Gabin Mesnil","K1H","113.59","404.99","341.26",""
"Adrien Pierre","K1H","113.63","413.26","341.72",""
"Victor Julou Feger","K1H","114.26","408.53","349.0",""
"Thomas Hado","K1H","114.38","435.43","350.39",""
"Romain Perrel","K1H","114.78","-","355.01",""
"Loan Beaucourt","K1H","114.93","498.8","356.74",""
"Oscar Mizzi","K1H","115.01","320.11","357.66",""
