"Challenge René Jarnoux  - 80310 Picquigny - Course n°2 - 2023-11-19","80310 Picquigny","Course n°2","","2023-11-19","Régional","151"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Louann Demanet","C1D","131.12","886.59","565.87",""
"Apolline Derivery","C1D","131.19","779.6","566.69",""
"Lucie Delvalle","C1D","132.42","640.75","581.1",""
"Callie Leroy","C1D","140.34","657.2","673.91",""
"Zoe Waeles","C1D","141.5","681.94","687.51",""
"Manon Durand","C1D","141.61","712.99","688.79",""
"Irene Combes","C1D","146.0","623.08","740.24",""
"Fany Marck","C1D","149.25","697.62","778.32",""
"Camille Massois Brastel","C1D","151.63","959.13","806.21",""
"Jeanne Ben Hadj Azzouz","C1D","163.01","939.54","939.57",""
"Lizie Lavignon","C1D","204.8","1198.34","1429.28",""
"Nicolas Ducrocq","C1H","93.66","171.46","283.69",""
"Yvan Leblond","C1H","98.58","274.59","349.58",""
"Matheo Senechault","C1H","103.0","256.27","408.78",""
"Lou Megret","C1H","106.33","469.61","453.38",""
"Samael Govart","C1H","107.79","547.81","472.92",""
"Marc Sanchez","C1H","107.86","573.83","473.87",""
"Enzo Marchand","C1H","109.41","464.9","494.62",""
"Titouan Bertrand","C1H","110.95","521.05","515.25",""
"Leo Le Sort","C1H","111.64","582.96","524.49",""
"Jo Rivrin-delfosse","C1H","115.05","490.61","570.15",""
"Maxime Cousin","C1H","116.67","523.89","591.85",""
"Guillaume Doutreix","C1H","117.04","608.05","596.81",""
"Thibaut Evrard","C1H","119.05","549.62","623.72",""
"James Lennon","C1H","119.38","677.66","628.14",""
"Paul Lecomte","C1H","123.14","554.67","678.5",""
"Etienne Michel","C1H","124.73","1092.02","699.78",""
"Guillaume Maillot","C1H","124.97","763.3","703.01",""
"Victor-antoine Roussel","C1H","130.11","1121.29","771.84",""
"Antonin Trotta","C1H","130.33","545.86","774.79",""
"Robin Dheilly","C1H","132.18","713.29","799.57",""
"Pierre Maillard","C1H","133.8","701.89","821.27",""
"Benoit Capitaine","C1H","136.04","1163.91","851.26",""
"Thibault Robillard","C1H","138.67","1092.88","886.49",""
"Aurelien Scavazza","C1H","141.05","1363.1","918.35",""
"Teddy Poulard","C1H","144.28","765.61","961.62",""
"Jerome Marchandin","C1H","147.67","1149.0","1007.01",""
"Paul Cascarino","C1H","150.41","183.8","1043.71",""
"Jean-francois Facquez","C1H","155.22","855.76","1108.13",""
"Achille Francoise","C1H","171.73","1004.29","1329.23",""
"Jules Lecoeur","C1H","193.77","974.02","1624.4",""
"Corentin Brunhoso","C1H","197.57","1077.8","1675.29",""
"Jules Lescarmontier","C1H","215.72","2885.83","1918.37",""
"Matteo Varlet","C1H","231.77","1165.65","2133.3",""
"Mathieu Dubois","C1H","431.09","5517.0","4802.67",""
"Nicolas Ducrocq-Thibaut Evrard","C2H","130.58","752.63","698.65",""
"Jean-francois Facquez-Vincent Charlet","C2H","177.52","945.37","1298.71",""
"Benoit Capitaine-Tristan Lobjois","C2H","197.73","1419.26","1557.07",""
"Benjamin Sacher-Camille Vauzelle","C2H","227.15","1538.68","1933.16",""
"Manon Durand-Guillaume Maillot","C2M","184.06","1391.07","1186.23",""
"Callie Leroy-Louis Dubois","C2M","205.72","980.16","1440.05",""
"Zoe Waeles","K1D","111.45","386.9","416.27",""
"Fany Marck","K1D","121.55","625.79","541.95",""
"Callie Leroy","K1D","121.81","503.26","545.19",""
"Manon Durand","K1D","128.45","655.63","627.83",""
"Louann Demanet","K1D","130.12","553.29","648.6",""
"Kanel Grignon","K1D","132.04","695.26","672.5",""
"Lucie Delvalle","K1D","132.3","475.31","675.74",""
"Lizie Lavignon","K1D","136.14","760.13","723.52",""
"Camille Massois Brastel","K1D","141.49","704.2","790.09",""
"Jeanne Ben Hadj Azzouz","K1D","145.98","856.26","845.97",""
"Apolline Derivery","K1D","156.33","704.51","974.77",""
"Irene Combes","K1D","171.58","368.3","1164.55",""
"Prune Rousseau","K1D","383.48","4355.37","3801.47",""
"Eva Mainnemare","K1D","399.82","1340.41","4004.81",""
"Swannah Wague","K1D","552.48","1866.12","5904.54",""
