"Championnat Régional de Slalom - 97441 Sainte Suzanne - Course n°2 - 2023-12-02","97441 Sainte Suzanne","Course n°2","","2023-12-02","Régional","42"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marjorie Delassus","C1D","107.69","57.61","81.96",""
"Angele Hug","C1D","108.77","44.45","92.08",""
"Camille Prigent","C1D","119.79","205.76","195.37",""
"Avril Saut-dickens","C1D","149.35","589.1","472.43",""
"Marie-anne Andrianarisolotoandro","C1D","150.82","864.34","486.21",""
"Lily Biso","C1D","196.87","1104.56","917.83",""
"Nicolas Gestin","C1H","97.27","37.77","114.54",""
"Gabriel Raggi","C1H","103.86","246.58","185.13",""
"Rockyann Ingrat","C1H","107.4","443.52","223.05",""
"Titouan Castryck","C1H","108.77","775.61","237.72",""
"Anatole Delassus","C1H","110.3","177.97","254.12",""
"Leo Roye","C1H","111.11","370.99","262.79",""
"Riwal Le Ray","C1H","123.3","513.67","393.37",""
"Tilio Le Ray","C1H","127.29","678.74","436.11",""
"Nicolas Labat","C1H","169.96","349.98","893.18",""
"Emma Vuitton","K1D","97.98","32.81","47.84",""
"Camille Prigent","K1D","98.13","35.63","49.33",""
"Marjorie Delassus","K1D","101.54","43.85","83.27",""
"Svenja Matti","K1D","109.44","246.9","161.91",""
"Avril Saut-dickens","K1D","133.42","345.18","400.59",""
"Lily Biso","K1D","140.06","675.62","466.68",""
"Lilo Bedoire","K1D","181.99","3765.48","884.03",""
"Benjamin Renia","K1H","89.38","37.86","77.89",""
"Titouan Castryck","K1H","89.44","25.99","78.57",""
"Jan Rohrer","K1H","90.36","157.04","88.92",""
"Anatole Delassus","K1H","95.2","28.05","143.35",""
"Pierre Bourliaud","K1H","98.03","122.48","175.18",""
"Manuel Munsch","K1H","98.44","339.2","179.79",""
"Noah Biso","K1H","99.19","313.31","188.23",""
"Nicolas Gestin","K1H","101.44","182.34","213.54",""
"Leo Roye","K1H","104.0","292.68","242.33",""
"Esteban Mussate","K1H","104.71","347.16","250.32",""
"Tilio Le Ray","K1H","108.13","696.83","288.78",""
"Gabriel Raggi","K1H","110.33","816.42","313.53",""
"Rockyann Ingrat","K1H","110.73","380.47","318.03",""
"Arnaud Brogniart","K1H","111.57","393.53","327.47",""
"Nicolas Labat","K1H","112.24","265.66","335.01",""
"Elouan Fages Oria","K1H","118.56","390.03","406.09",""
"Tiphaine Vaillant","K1H","122.3","650.35","448.16",""
"Remi Gravina","K1H","127.24","563.43","503.72",""
"Alan De Schouwer","K1H","148.07","2281.07","738.0",""
"Riwal Le Ray","K1H","149.98","271.9","759.49",""
