"Championnat Régional de Slalom - 72300 Sable Sur Sarthe - Course n°1 - 2024-01-14","72300 Sable Sur Sarthe","Course n°1","","2024-01-14","Régional","139"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Romane Bronchet","C1D","133.5","943.92","515.89",""
"Zoe Malval","C1D","135.12","604.66","534.03",""
"Margot Renaudineau","C1D","140.53","573.85","594.62",""
"Rachel Clavreul-zerbib","C1D","142.2","595.0","613.33",""
"Mila Santamaria","C1D","170.3","-","928.06",""
"Justine Bossard","C1D","197.53","885.04","1233.04",""
"Johanne Duval-pourrieux","C1D","222.11","1191.14","1508.35",""
"Florian Busson","C1H","107.86","-","401.3",""
"Sacha Menard","C1H","109.0","365.07","415.89",""
"Matteo Weinegaessel","C1H","110.03","507.99","429.06",""
"Samuel Vallienne","C1H","112.79","466.67","464.4",""
"Titouan Bertrand","C1H","116.39","498.47","510.49",""
"Vincent Froger","C1H","121.57","649.82","576.79",""
"Leo Daniel","C1H","122.41","782.11","587.54",""
"Eliot Chouteau","C1H","123.2","561.72","597.65",""
"Felix Bernier","C1H","124.24","519.99","610.97",""
"Yoann Bizot","C1H","127.09","557.96","647.44",""
"Tanguy Odot","C1H","129.21","777.84","674.58",""
"Laurent Chiron","C1H","130.49","707.6","690.96",""
"Aubin Cherre","C1H","136.64","839.66","769.68",""
"Arthur Chouteau","C1H","141.63","1320.32","833.57",""
"Jules Lecoeur","C1H","143.87","868.78","862.23",""
"Evan Roger","C1H","144.72","1194.39","873.12",""
"Achille Francoise","C1H","151.75","1166.76","963.1",""
"Jules Tellier","C1H","154.66","1529.16","1000.35",""
"Evan Odot","C1H","154.88","1144.91","1003.17",""
"Lohan Goulhot","C1H","156.97","-","1029.92",""
"Baptiste Gobin","C1H","160.43","949.68","1074.2",""
"Remi Launay","C1H","161.0","1162.24","1081.5",""
"Jules Lescarmontier","C1H","161.47","2402.1","1087.52",""
"Noah Morand","C1H","194.39","-","1508.9",""
"Florian Busson-Alex Louveau","C2H","116.9","514.91","449.0",""
"Eliot Chouteau-Felix Bernier","C2H","128.58","1168.44","591.71",""
"Herve Busson-Vincent Froger","C2H","129.9","-","607.83",""
"Leo Daniel-Aubin Cherre","C2H","141.83","937.58","753.6",""
"Maxence Segaud-Mathis Barre","C2H","147.81","-","826.67",""
"Achille Francoise-Jules Lecoeur","C2H","177.85","-","1193.71",""
"Gabriel Millier-Charlie Bouec - Hamon","C2H","222.89","-","1744.03",""
"Natael Curutchet-Marin Segaud","C2H","234.37","1566.52","1884.31",""
"Louise Landerretche-Noha Drouard","C2M","192.66","-","1178.5",""
"Myriam Le Joncourt","K1D","106.38","253.5","285.95",""
"Zoe Malval","K1D","113.14","387.69","366.35",""
"Romane Bronchet","K1D","114.06","437.15","377.29",""
"Valerie Sibioude","K1D","118.87","431.45","434.51",""
"Rachel Clavreul-zerbib","K1D","118.94","462.19","435.34",""
"Margot Renaudineau","K1D","120.67","450.01","455.92",""
"Coralie Belnoue","K1D","130.15","685.36","568.67",""
"Justine Bossard","K1D","136.66","771.16","646.1",""
"Valentine Jussy","K1D","139.0","-","673.93",""
"Alexine Torche","K1D","144.62","722.91","740.77",""
"Louise Landerretche","K1D","146.0","983.17","757.2",""
"Justine Caruhel","K1D","147.05","801.65","769.68",""
"Mila Santamaria","K1D","154.1","-","853.54",""
"Johanne Duval-pourrieux","K1D","158.83","978.32","909.8",""
"Chloe Masseau","K1D","185.11","-","1222.37",""
"Mia Etienne","K1D","224.32","1075.87","1688.73",""
"Emilija Maiseviciute","K1D","236.94","-","1838.84",""
"Nora Curutchet","K1D","240.12","-","1876.67",""
"Coline Robert","K1D","245.61","-","1941.96",""
"Audrey Morice","K1D","287.65","1617.82","2442.0",""
"Tina Casset","K1D","326.33","4001.66","2902.06",""
"Florian Busson","K1H","87.11","100.33","191.44",""
"Max Derame","K1H","89.66","200.72","225.71",""
"Matteo Weinegaessel","K1H","90.0","287.36","230.28",""
"Maxence Davy","K1H","90.6","99.84","238.35",""
"ClÉment Davy","K1H","93.42","205.14","276.25",""
"Marwan Bazot","K1H","94.42","278.25","289.69",""
"Mathis Barre","K1H","95.84","478.44","308.77",""
"Romain Margerie","K1H","96.11","252.08","312.4",""
"Alex Louveau","K1H","96.38","208.64","316.03",""
"Gabriel Bonsens","K1H","96.44","239.33","316.84",""
"Titouan Bertrand","K1H","97.12","351.33","325.98",""
"Sacha Menard","K1H","97.19","258.65","326.92",""
"Benjamin Thiboust","K1H","98.67","344.76","346.81",""
"Herve Busson","K1H","99.3","297.19","355.28",""
"Vincent Froger","K1H","101.7","390.07","387.53",""
"ClÉment Louveau","K1H","101.96","313.22","391.03",""
"Leo Daniel","K1H","102.64","474.39","400.17",""
"Jacques Despierres","K1H","104.82","421.63","429.47",""
"Denis Guilmard","K1H","106.0","599.46","445.33",""
"Aubin Cherre","K1H","106.64","540.22","453.93",""
"Evan Roger","K1H","109.93","759.45","498.15",""
"Jerome Marchais","K1H","110.74","514.83","509.03",""
"Bastien Mailly","K1H","111.05","447.98","513.2",""
"Stephane Odot","K1H","114.06","422.52","553.66",""
"Tanguy Odot","K1H","114.84","610.29","564.14",""
"Evan Odot","K1H","115.73","807.79","576.1",""
"Achille Francoise","K1H","116.08","748.7","580.81",""
"Jules Lecoeur","K1H","118.18","817.78","609.03",""
"Alexis Brule","K1H","118.57","611.61","614.27",""
"Jules Lescarmontier","K1H","119.81","804.37","630.94",""
"Jules Tellier","K1H","120.45","901.91","639.54",""
"Meven Le Berre","K1H","120.5","744.05","640.21",""
"Arthur Chouteau","K1H","122.6","549.71","668.44",""
"Simon Labet","K1H","122.66","623.57","669.24",""
"Clement Delhommeau","K1H","123.11","901.81","675.29",""
"Philippe Rocher","K1H","124.21","705.94","690.08",""
"Olivier Brochard","K1H","124.87","750.85","698.95",""
"Noha Drouard","K1H","125.51","1130.22","707.55",""
"Gael Cailler","K1H","126.05","1117.1","714.81",""
"Lohan Goulhot","K1H","126.15","-","716.15",""
"Raphael Debaize-michaux","K1H","126.29","835.65","718.03",""
"Tibaud Magniette","K1H","127.93","918.08","740.07",""
"Remi Launay","K1H","128.31","821.37","745.18",""
"Marin Segaud","K1H","129.57","880.5","762.12",""
"Ewen Lema","K1H","129.75","957.6","764.54",""
"Maxence Segaud","K1H","130.6","721.7","775.96",""
"Sacha Daniel","K1H","132.88","-","806.6",""
"Steeve Protais","K1H","133.79","951.53","818.83",""
"Achille Bezault","K1H","134.51","-","828.51",""
"Baptiste Gobin","K1H","135.23","857.69","838.19",""
"Mathias Leproult","K1H","136.38","1688.2","853.65",""
"Liam Guilgault","K1H","138.62","-","883.75",""
"Christian Belouin","K1H","139.4","1011.39","894.24",""
"Aubin Besson","K1H","141.81","1081.35","926.63",""
"Simon Lecoeur","K1H","142.44","-","935.09",""
"Augustin Blin","K1H","143.07","1071.95","943.56",""
"Eliot Chouteau","K1H","145.29","347.4","973.4",""
"Vincent Chanteux","K1H","147.58","-","1004.18",""
