"SÈlectif RÈgional Slalom (Double) - 07150 Vallon Pont D Arc - Course n∞4 - 2024-02-18","07150 Vallon Pont D Arc","Course n∞4","","2024-02-18","RÈgional","124"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Lou Ann Vuilleumier","C1D","117.65","349.83","406.21",""
"Laura Lesches","C1D","119.36","501.84","426.37",""
"Emilie Armani","C1D","147.67","727.94","760.08",""
"Manon Martel","C1D","159.51","1437.84","899.66",""
"Alice Baptiste","C1D","166.53","1226.76","982.41",""
"Zelia Touzet","C1D","173.8","1016.07","1068.11",""
"No…mie Gaillard","C1D","201.12","775.39","1390.16",""
"Loic Trenchant","C1H","94.81","136.82","296.63",""
"Emeric Nieser","C1H","96.38","185.2","317.78",""
"Vadym Musevych","C1H","100.63","349.3","375.04",""
"Cedric Passas","C1H","109.11","496.66","489.28",""
"Paki Magnani","C1H","110.47","575.08","507.61",""
"Romain Bertrand","C1H","111.04","500.14","515.28",""
"Jalil- Ilias Yousri","C1H","112.16","616.82","530.37",""
"Simon Baptiste","C1H","114.52","586.33","562.17",""
"Malo Fouquet","C1H","114.68","544.53","564.32",""
"Ronan Poret","C1H","117.98","695.36","608.78",""
"Bertrand Lamy","C1H","118.69","751.63","618.34",""
"Liam Simon","C1H","119.26","674.24","626.03",""
"Francis Gaillard","C1H","119.54","688.24","629.8",""
"Joel Betti","C1H","119.62","597.88","630.88",""
"Lucas Mathevet","C1H","121.05","551.97","650.14",""
"Pierre Merendet","C1H","121.83","884.96","660.65",""
"Theophile Vincent","C1H","127.99","733.41","743.63",""
"Valentin Gall","C1H","131.2","882.37","786.88",""
"Aurelien Chalmandrier","C1H","132.64","1032.48","806.28",""
"Baptiste Desmerger","C1H","133.73","951.98","820.97",""
"Tao Tomaselli","C1H","138.02","1044.3","878.77",""
"Lucas Drouault","C1H","139.8","773.01","902.74",""
"Tilio Magnani","C1H","140.81","988.73","916.35",""
"Arun Schuit","C1H","152.9","1331.16","1079.22",""
"Timothe Alonso","C1H","154.23","1638.06","1097.15",""
"Gatien Crochet","C1H","154.65","1265.84","1102.81",""
"Nael Faure Brac","C1H","157.9","1219.53","1146.59",""
"Nathan Blanchet","C1H","159.74","1229.79","1171.37",""
"Alexei Evlachev","C1H","179.38","981.83","1435.96",""
"Timothe Alonso-Tao Tomaselli","C2H","159.94","1159.02","1076.13",""
"Emilie Armani","K1D","111.04","503.57","409.38",""
"Laura Lesches","K1D","113.65","322.36","442.05",""
"Judith Gery","K1D","116.47","579.6","477.35",""
"Marie - Lou Cote","K1D","118.42","502.54","501.76",""
"No…mie Gaillard","K1D","118.72","566.45","505.52",""
"Zelia Touzet","K1D","130.37","813.88","651.36",""
"Melie Dubiez","K1D","130.62","701.36","654.49",""
"Alice Baptiste","K1D","132.51","1072.16","678.14",""
"Manon Martel","K1D","132.52","923.42","678.27",""
"Elodie Faure","K1D","134.19","747.76","699.17",""
"Ines Schoch","K1D","139.21","1028.77","762.02",""
"Helene Merlet","K1D","143.25","679.19","812.59",""
"Celine Mizera","K1D","159.14","968.13","1011.51",""
"Marie-julie Daval","K1D","162.56","1141.7","1054.31",""
"Laura Ceysson","K1D","178.95","782.84","1259.5",""
"Arthur Blocquaux","K1H","89.64","137.11","287.36",""
"Theo Leclercq-chabenat","K1H","98.36","416.34","410.71",""
"Basile Monzerian","K1H","98.81","422.7","417.08",""
