"Sélectif Régional Slalom (Double) - 40330 Amou - Course n°3 - 2024-02-18","40330 Amou","Course n°3","","2024-02-18","Régional","175"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laurine Salesse","C1D","109.41","163.98","218.16",""
"Lea Baldoni","C1D","122.32","-","358.28",""
"Ester Narduzzi","C1D","124.49","387.1","381.85",""
"Lola Miremont","C1D","127.21","876.91","411.36",""
"Loredy Gaby","C1D","128.82","635.79","428.84",""
"Suzel Cayrat","C1D","128.85","533.86","429.17",""
"Lilou Maniet","C1D","130.72","436.45","449.46",""
"Cloe Ducasse","C1D","138.0","734.12","528.49",""
"Charlotte Compan","C1D","139.63","431.59","546.17",""
"Charline Malpeli","C1D","142.57","609.13","578.09",""
"Candice Tuquoy Gonzalez","C1D","147.4","816.67","630.51",""
"Alix Lapeze","C1D","149.78","527.4","656.36",""
"Noemie Labarthe","C1D","162.42","994.16","793.55",""
"Esther Bonneaud Raimbault","C1D","168.46","862.87","859.11",""
"Agathe Cayez","C1D","190.37","1334.31","1096.94",""
"Annaelle Carayon","C1D","192.81","-","1123.42",""
"Ambre Dantepal","C1D","204.17","1757.75","1246.73",""
"Johan Pucheou","C1H","105.31","321.57","336.95",""
"Loris Shayam Affre","C1H","105.77","267.34","342.65",""
"Marc Sarramea","C1H","107.41","67.27","363.0",""
"Gauthier Beyneix","C1H","107.6","461.96","365.36",""
"Joris Hello","C1H","110.37","1104.24","399.72",""
"Florian Latapiebayroo","C1H","111.3","511.39","411.26",""
"Louis Bernard","C1H","113.99","593.68","444.63",""
"Simon Cayez","C1H","115.57","523.18","464.23",""
"Antoine Bazalgette Bissonnet","C1H","117.74","597.58","491.14",""
"Tom Pucheu","C1H","118.46","394.29","500.08",""
"Alexandre Arnaud","C1H","121.89","586.57","542.63",""
"Yoann Duquennoy","C1H","124.32","604.79","572.77",""
"Jules Beigbeder","C1H","124.89","638.37","579.85",""
"Eliott Arnauld De Sartre","C1H","128.59","598.79","625.75",""
"Lucyan Coupe","C1H","129.81","899.52","640.88",""
"Lucas Nativite","C1H","132.2","955.48","670.53",""
"Guillem Pucheu","C1H","141.09","1055.98","780.8",""
"Alexis Hillotte","C1H","146.99","1008.18","853.99",""
"Dyclann Clerc","C1H","150.01","692.64","891.46",""
"Matthieu Margherita","C1H","153.51","847.96","934.88",""
"Noa Verro","C1H","154.99","1724.16","953.24",""
"Nathanael Foucoin","C1H","158.11","1025.27","991.94",""
"Clement Laureys","C1H","162.28","2094.75","1043.66",""
"Maxence Foucoin","C1H","164.76","1112.97","1074.43",""
"Eloan Beranger Boniface","C1H","173.79","1434.14","1186.45",""
"Marek Leprevost","C1H","203.07","2216.34","1549.67",""
"Sacha Larenaudie-danton-Lucas Delcourt Pichelin","C2H","169.5","1034.24","1037.66",""
"Lea Baldoni","K1D","99.39","181.49","176.23",""
"Marie-zelia Lafont","K1D","100.0","65.9","183.26",""
"Cerise Babin","K1D","101.19","191.95","196.98",""
"Laurine Salesse","K1D","112.55","187.92","327.92",""
"Lilou Maniet","K1D","114.37","264.89","348.89",""
"Lola Miremont","K1D","114.4","428.82","349.25",""
"Ester Narduzzi","K1D","116.17","398.73","369.64",""
"Suzel Cayrat","K1D","116.49","425.43","373.33",""
"Stephanie Kaczmarek","K1D","117.0","348.76","379.22",""
"Maelle Gerbet","K1D","118.27","460.86","393.86",""
"Candice Tuquoy Gonzalez","K1D","121.95","688.52","436.27",""
"Loredy Gaby","K1D","122.22","628.03","439.38",""
"Alix Lapeze","K1D","123.66","376.5","455.99",""
