"Sélectif Régional Slalom (Double) - 57520 Grosbliederstroff - Course n°1 - 2024-03-09","57520 Grosbliederstroff","Course n°1","","2024-03-09","Régional","105"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Sophie Staudt","C1D","108.91","425.0","508.61",""
"Fransiska Granzow","C1D","109.65","529.66","518.15",""
"Emmie Mathis","C1D","134.97","845.92","844.73",""
"Anastasia Stepanov","C1D","180.01","-","1425.66",""
"Camille Berthellemy Mercuriali","C1D","181.71","-","1447.59",""
"Ariane Thuillier","C1D","205.68","996.74","1756.75",""
"Louane Rust","C1D","211.32","-","1829.5",""
"Lilou Pearl Garnier","C1D","367.91","1527.41","3849.21",""
"Agathe Jacob","C1D","396.65","1357.63","4219.9",""
"Justine Lemaire","C1D","523.36","-","5854.2",""
"Charlie Barbier","C1H","96.71","-","529.45",""
"Noah Spratte","C1H","103.13","615.28","624.08",""
"Vincent Ganthier","C1H","121.37","729.34","892.95",""
"Pol Guivarch","C1H","126.02","1039.03","961.5",""
"Mano Bertin Ranson","C1H","126.23","1001.87","964.59",""
"Valentin Clement","C1H","126.57","817.83","969.61",""
"Ethan Cerf","C1H","128.12","851.46","992.45",""
"Robin Stehly","C1H","129.78","-","1016.92",""
"Thomas Berthellemy Mercuriali","C1H","140.84","-","1179.95",""
"NathanaËl Diseurs","C1H","145.51","960.82","1248.79",""
"Owen Chalons","C1H","150.93","1110.43","1328.69",""
"Julien Stehly","C1H","153.86","-","1371.87",""
"Lorenzo Lardant","C1H","158.23","-","1436.29",""
"Mathis Didelot","C1H","190.96","-","1918.76",""
"Tristan Lobjois","C1H","269.48","-","3076.19",""
"Oscar Marchal","C1H","336.12","1757.46","4058.49",""
"Sacha Bertin Ranson","C1H","365.68","-","4494.24",""
"Aubin Guivarch","C1H","474.79","-","6102.58",""
"Sophie Staudt-Fransiska Granzow","C2D","126.43","721.46","609.14",""
"Chloe Molinie-Tess Greiveldinger","C2D","513.83","-","5221.48",""
"Benoit Capitaine-Tristan Lobjois","C2H","145.87","1448.82","1156.36",""
"Florent Tamburini-Philippe Potier","C2H","198.95","-","1903.23",""
"Christine Poix-Emmanuel Del Rey","C2M","142.37","-","940.18",""
"Florent Tamburini-Emmy Tamburini","C2M","199.89","1024.41","1682.07",""
"Justine Lemaire-Tristan Lobjois","C2M","319.41","-","3223.65",""
"Fransiska Granzow","K1D","84.54","146.59","261.83",""
"Sophie Staudt","K1D","96.09","258.08","420.03",""
"Emmie Mathis","K1D","111.9","588.72","636.58",""
"Emmy Tamburini","K1D","124.42","820.18","808.07",""
"Anastasia Stepanov","K1D","125.19","889.82","818.62",""
"Camille Berthellemy Mercuriali","K1D","133.0","-","925.59",""
"Ariane Thuillier","K1D","142.21","823.82","1051.75",""
"Lilou Pearl Garnier","K1D","144.37","908.59","1081.32",""
"Louise Wadier","K1D","147.25","-","1120.78",""
"Agathe Jacob","K1D","147.93","826.57","1130.08",""
"Kelly Capitaine","K1D","159.08","-","1282.81",""
"Meryem Taoufik","K1D","173.93","-","1486.2",""
"Caroline Scherer","K1D","174.95","-","1500.18",""
"Louane Rust","K1D","197.33","1655.79","1806.71",""
"Penelope Coste","K1D","200.55","1807.36","1850.83",""
"Lila Kerrouche","K1D","207.42","1342.55","1944.93",""
"Elodie Thomasset","K1D","208.16","1070.24","1955.05",""
"Anae Driget","K1D","218.84","1221.21","2101.35",""
"Justine Lemaire","K1D","220.05","911.22","2117.92",""
"Tess Greiveldinger","K1D","304.89","1294.27","3279.97",""
"Charlie Barbier","K1H","79.06","245.47","327.55",""
"Noah Spratte","K1H","90.41","403.45","503.22",""
"Victor Scheffzek","K1H","92.08","555.23","529.07",""
"Ethan Cerf","K1H","94.04","527.97","559.4",""
