"Compétition Régionale de Slalom - 97470 St Benoit - Course n°2 - 2024-04-06","97470 St Benoit","Course n°2","","2024-04-06","Régional","31"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ameli Couzi","C1D","161.13","819.61","695.65",""
"Marie-anne Andrianarisolotoandro","C1D","172.35","930.89","810.26",""
"Lily Biso","C1D","178.69","1033.75","875.03",""
"Avril Saut-dickens","C1D","202.86","740.45","1121.94",""
"Lilo Bedoire","C1D","222.72","1234.17","1324.82",""
"Gabriel Raggi","C1H","105.22","244.21","278.06",""
"Rockyann Ingrat","C1H","108.26","428.99","313.55",""
"Riwal Le Ray","C1H","115.2","498.11","394.56",""
"Ethan Almar","C1H","140.91","1070.25","694.73",""
"Tilio Le Ray","C1H","143.46","521.51","724.5",""
"Liam Dias","C1H","150.22","1271.82","803.42",""
"Avril Saut-dickens","K1D","119.3","319.65","343.83",""
"Lily Biso","K1D","129.65","646.37","456.11",""
"Lilo Bedoire","K1D","148.61","762.96","661.79",""
"Ameli Couzi","K1D","150.89","764.1","686.53",""
"Adele Gauthier","K1D","762.86","6845.67","7325.33",""
"Riwal Le Ray","K1H","104.66","268.81","332.61",""
"Noah Biso","K1H","106.41","297.66","354.06",""
"Esteban Mussate","K1H","107.4","354.1","366.2",""
"Elouan Fages Oria","K1H","107.61","364.28","368.77",""
"Riwan Guillermic","K1H","110.44","320.96","403.46",""
"Alexandre Bordas","K1H","112.76","418.51","431.9",""
"Gabriel Raggi","K1H","122.99","363.33","557.31",""
"Alan De Schouwer","K1H","123.02","668.27","557.68",""
"Tiphaine Vaillant","K1H","124.1","634.87","570.92",""
"Remi Gravina","K1H","126.31","541.91","598.01",""
"Liam Dias","K1H","133.93","866.44","691.42",""
"Tilio Le Ray","K1H","136.86","674.15","727.33",""
"Ethan Almar","K1H","150.19","718.77","890.74",""
"Rockyann Ingrat","K1H","166.4","336.26","1089.45",""
"Esteban Durnerin","K1H","181.98","1955.87","1280.44",""
