"Manche de la Coupe de France National 3 Slalom - 67600 Selestat - Course n°2 - 2024-04-14","67600 Selestat","Course n°2","","2024-04-14","Nationale 3","219"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Fransiska Granzow","C1D","110.01","514.66","474.5",""
"Mae Bianco","C1D","110.88","443.45","486.13",""
"Sophia Mouhoub","C1D","122.35","941.41","639.39",""
"Solange Nasello","C1D","124.54","1094.9","668.65",""
"Calie Lang","C1D","128.22","923.2","717.83",""
"Anais Mouhoub","C1D","132.97","987.98","781.29",""
"Sybille Balland","C1D","134.12","983.43","796.67",""
"Anastasia Stepanov","C1D","134.13","794.44","796.8",""
"Camille Massois Brastel","C1D","140.9","932.1","887.27",""
"Ariane Thuillier","C1D","144.88","966.66","940.44",""
"Anais Moinian","C1D","145.08","727.91","943.12",""
"Camille Berthellemy Mercuriali","C1D","158.59","866.14","1123.63",""
"Agathe Jacob","C1D","163.19","1357.63","1185.11",""
"Cathilya Talon","C1D","190.21","964.18","1546.15",""
"Mathieu Biazizzo","C1H","83.56","217.9","280.58",""
"Joao Normand","C1H","93.69","375.75","435.28",""
"Thibaud Korn","C1H","94.65","448.34","449.94",""
"Pierre Marie Roussel","C1H","96.82","456.17","483.07",""
"Anton Boivin","C1H","97.73","444.07","496.97",""
"Lucas Latimier","C1H","97.89","363.8","499.41",""
"Baptiste Albert","C1H","98.23","511.68","504.61",""
"Christophe Despres","C1H","98.47","459.27","508.27",""
"Oskar Hillion","C1H","98.5","478.55","508.73",""
"Leo-paul Cassin","C1H","100.62","725.42","541.1",""
"Arik Buetikofer","C1H","101.75","536.85","558.36",""
"Charlie Barbier","C1H","101.91","500.2","560.8",""
"Julien Tassotti","C1H","103.23","557.24","580.96",""
"Jean-charles Reby","C1H","105.15","421.51","610.28",""
"Clement Dufraine","C1H","106.35","685.64","628.61",""
"Jean Marc Trenchant","C1H","106.54","621.0","631.51",""
"Jules Dolisy","C1H","107.82","723.3","651.06",""
"Alex Robinet","C1H","108.01","714.29","653.96",""
"Gael Ettwiller","C1H","108.43","634.69","660.38",""
"Vincent Ganthier","C1H","109.34","791.36","674.26",""
"Hippolyte Golly","C1H","109.74","694.6","680.37",""
"Timothee Foltz","C1H","110.41","741.95","690.6",""
"Jean-baptiste Wolff","C1H","110.61","775.9","693.66",""
"Axel Viornery","C1H","110.62","855.71","693.81",""
"Benjamin Moggs","C1H","110.73","641.94","695.49",""
"Ethan Cerf","C1H","111.13","745.21","701.6",""
"Valentin Bostoen","C1H","112.35","559.23","720.23",""
"Pol Guivarch","C1H","112.46","871.19","721.92",""
"Ludovic Kessler","C1H","113.15","551.35","732.45",""
"Ilian Parisot","C1H","114.12","797.43","747.27",""
"Nathan Morris","C1H","114.76","601.42","757.03",""
"Alexandre L'huillier","C1H","116.2","855.97","779.03",""
"Thibaud Schaefer","C1H","116.54","684.17","784.21",""
"Charli Rudinger","C1H","117.13","2083.55","793.22",""
"Benoit Capitaine","C1H","117.38","806.57","797.04",""
"Dyclan Plessis","C1H","117.42","623.86","797.67",""
"Julien Stehly","C1H","117.57","815.3","799.94",""
"Noah Spratte","C1H","117.8","559.42","803.45",""
"Sebastien De Berchem","C1H","118.5","671.53","814.15",""
"Robin Stehly","C1H","118.61","911.26","815.83",""
"Gabin Arribe","C1H","122.28","933.79","871.87",""
"Thomas Berthellemy Mercuriali","C1H","122.57","839.96","876.3",""
"Anton Buneev","C1H","123.06","849.13","883.79",""
"Owen Chalons","C1H","129.74","1023.54","985.8",""
"Axel Conreaux Viraswami","C1H","130.45","1350.42","996.64",""
"NathanaËl Diseurs","C1H","130.57","1072.77","998.47",""
"Theo Voegtlin","C1H","131.93","771.84","1019.25",""
"Mano Bertin Ranson","C1H","135.47","1040.19","1073.3",""
"Maxence Principaud","C1H","137.39","901.66","1102.63",""
"Alban Gelly","C1H","139.62","1084.09","1136.67",""
"Valentin Clement","C1H","146.29","1011.58","1238.54",""
"Aubin Guivarch","C1H","175.09","3424.25","1678.34",""
"Ange Mahut","C1H","212.91","1924.13","2255.89",""
"Sacha Bertin Ranson","C1H","270.46","3650.79","3134.75",""
"Sophie Staudt-Fransiska Granzow","C2D","132.39","659.93","637.46",""
"Emilie Moret-Anais Haton","C2D","159.81","846.2","975.68",""
"Hugo Latimier-Jules Latimier","C2H","98.45","324.3","439.63",""
"Sebastien De Berchem-Marvin Tulpin","C2H","104.47","540.18","527.38",""
"Jean-charles Reby-Gregory Ganthier","C2H","109.43","590.6","599.68",""
"Nicolas Burgi-Julien Pajaud","C2H","112.09","779.38","638.46",""
"Oskar Hillion-Loric Bertrand Delorme","C2H","114.87","759.09","678.98",""
"Charli Rudinger-Thibaud Korn","C2H","115.42","750.59","686.99",""
"Yann Becker-Gael Ettwiller","C2H","120.59","878.64","762.36",""
"Noe Crapart-Ethan Cerf","C2H","121.05","736.48","769.06",""
"Lucas Latimier-Antoine Saul","C2H","124.41","965.63","818.05",""
"Victor Henry-Paul Gstalter","C2H","127.87","1279.14","868.47",""
"Matthieu Walfard-Gerard Menissier","C2H","128.36","800.68","875.63",""
"Ludovic Kessler-Salim Jemai","C2H","128.41","848.09","876.35",""
"Leo-paul Cassin-Nathan Morris","C2H","131.67","3422.75","923.87",""
"Gabriel Haag-Alessio Guyon","C2H","155.23","1085.18","1267.3",""
"Pierre Louis Fix-Octave Molina","C2H","165.89","1646.63","1422.7",""
"Emilien Kempf-Fransiska Granzow","C2M","112.38","533.43","506.17",""
"Loric Bertrand Delorme-Leanne Lemal","C2M","132.74","873.82","778.23",""
"Salim Jemai-Anais Mouhoub","C2M","137.1","1025.33","836.49",""
"Christine Poix-Emmanuel Del Rey","C2M","139.69","858.58","871.09",""
"Jean-baptiste Wolff-Claire Colin","C2M","140.96","792.33","888.07",""
"Emilie Moret-Nathan Morris","C2M","141.34","919.68","893.14",""
"Mae Bianco-Valentin Bostoen","C2M","142.8","1447.23","912.65",""
"Julia Budzinski-Oskar Hillion","C2M","147.54","1352.2","975.99",""
"Leo-paul Cassin-Anais Haton","C2M","161.28","1237.13","1159.58",""
"Sophia Mouhoub-Hippolyte Golly","C2M","161.3","915.69","1159.86",""
"Axel Conreaux Viraswami-Solange Nasello","C2M","173.98","1201.93","1329.28",""
"Svenja Matti","K1D","90.85","242.83","293.68",""
"Elodie Delavelle","K1D","109.86","517.06","563.43",""
"Calie Lang","K1D","110.21","698.36","568.4",""
"Sylvaine Louis","K1D","110.62","659.55","574.22",""
"Anais Moinian","K1D","110.98","451.27","579.33",""
"Florance Moinian","K1D","111.92","437.88","592.67",""
"Cathilya Talon","K1D","116.11","688.01","652.12",""
"Sybille Balland","K1D","116.85","564.12","662.62",""
"Anastasia Stepanov","K1D","119.53","806.49","700.66",""
"Celia Grandadam","K1D","120.9","682.13","720.09",""
"Camille Massois Brastel","K1D","122.84","739.46","747.62",""
"Camille Berthellemy Mercuriali","K1D","125.38","716.52","783.67",""
"Lila Kerrouche","K1D","129.22","1328.09","838.15",""
"Justine Lemaire","K1D","132.66","1312.86","886.96",""
"Leanne Lemal","K1D","132.72","853.16","887.81",""
"Ariane Thuillier","K1D","135.63","926.83","929.12",""
"Agathe Jacob","K1D","136.35","843.58","939.33",""
"Kelly Capitaine","K1D","141.06","973.55","1006.16",""
"Louise Wadier","K1D","141.39","1366.69","1010.85",""
"Meryem Taoufik","K1D","149.33","1073.51","1123.51",""
"Solange Nasello","K1D","210.92","766.48","1997.47",""
"Pitt Rohrer","K1H","79.82","316.27","284.41",""
"NoÉ Anderegg","K1H","80.23","275.39","290.99",""
"Pierre Marie Roussel","K1H","80.25","324.19","291.31",""
"Thibaud Korn","K1H","82.86","427.52","333.16",""
"Thibault Blaise","K1H","84.68","350.77","362.34",""
"Hugo Latimier","K1H","84.7","293.06","362.66",""
"LoÏc Winiarski","K1H","85.39","346.91","373.73",""
"Nicolas Burgi","K1H","85.52","420.14","375.81",""
"Benjamin Moggs","K1H","88.24","432.42","419.42",""
"Nathan Barbier","K1H","88.66","422.73","426.16",""
"Leo Ulmer","K1H","89.65","410.85","442.03",""
"Victor Henry","K1H","90.36","655.9","453.42",""
"Ethan Cerf","K1H","90.67","450.45","458.39",""
"Jan Gabin Pischek","K1H","90.73","425.83","459.35",""
"Jules Dolisy","K1H","91.04","453.5","464.32",""
"Dominic Kasper","K1H","91.04","269.25","464.32",""
"Damien Ganthier","K1H","91.05","382.65","464.48",""
"Antoine Saul","K1H","91.61","372.63","473.46",""
"Alexis Pacholak","K1H","92.14","400.97","481.96",""
"Evan Trenchant","K1H","92.36","491.87","485.49",""
"Paul Bostoen","K1H","92.39","468.74","485.97",""
"Quentin Dierstein","K1H","92.43","532.52","486.61",""
"Noah Spratte","K1H","92.61","389.21","489.5",""
"Quentin Maillefer","K1H","92.62","316.1","489.66",""
"Teo Muller Heddar","K1H","93.04","617.04","496.39",""
"Hugo Robinet","K1H","94.04","484.14","512.43",""
"Maxence Principaud","K1H","94.35","881.39","517.4",""
"Thomas Michel","K1H","95.68","555.77","538.72",""
"Anton Boivin","K1H","96.04","622.91","544.49",""
"Paul Frommer","K1H","96.39","549.77","550.11",""
"Yann Becker","K1H","97.74","542.33","571.75",""
"Smail Mouhoub","K1H","97.92","590.56","574.64",""
"Florent Tamburini","K1H","98.5","515.26","583.94",""
"Christophe Siffert","K1H","99.07","621.02","593.08",""
"Mano Bertin Ranson","K1H","99.92","923.21","606.71",""
"Valentin Bostoen","K1H","99.96","514.15","607.35",""
"Julien Tassotti","K1H","100.32","563.94","613.12",""
"Gabriel Haag","K1H","100.77","642.87","620.34",""
"Alexandre Perlmutter","K1H","100.93","775.83","622.9",""
"Matthieu Walfard","K1H","101.0","654.52","624.03",""
"Hippolyte Golly","K1H","101.48","615.58","631.72",""
"Paul Gaillard","K1H","101.52","849.47","632.36",""
"Michel Ragot","K1H","101.6","652.23","633.65",""
"Timothee Foltz","K1H","101.92","535.29","638.78",""
"Dyclan Plessis","K1H","102.32","1031.4","645.19",""
"Noah Prompt","K1H","102.52","569.61","648.4",""
"Octave Molina","K1H","103.23","769.43","659.78",""
"Florian Perenchio","K1H","103.59","554.23","665.56",""
"Maxime Boutevillain","K1H","103.6","852.82","665.72",""
"Patrick Gass","K1H","103.8","649.09","668.92",""
"Charly Crapart","K1H","103.84","509.62","669.56",""
"Gabin Arribe","K1H","104.07","714.6","673.25",""
"Benoit Capitaine","K1H","104.07","684.56","673.25",""
"Christophe Billaud","K1H","104.11","607.58","673.89",""
"Ewen Demet","K1H","104.39","564.86","678.38",""
"Robin Stehly","K1H","105.53","716.11","696.66",""
"Yannick Diochet","K1H","105.99","1174.48","704.04",""
"Theo Voegtlin","K1H","105.99","588.96","704.04",""
"Noa Conreaux Viraswami","K1H","106.17","820.84","706.93",""
"Audren Schiel","K1H","107.77","856.61","732.58",""
"Nathan Prompt","K1H","108.41","779.51","742.84",""
"Tristan Lobjois","K1H","108.46","1223.1","743.64",""
"Victor Valensi","K1H","108.52","842.29","744.61",""
"Anton Buneev","K1H","109.22","967.52","755.83",""
"Pierre Louis Fix","K1H","109.27","1237.11","756.63",""
"Baptiste Albert","K1H","109.42","773.22","759.04",""
"Florent Vallier","K1H","109.45","804.63","759.52",""
"Ilian Parisot","K1H","109.93","871.71","767.22",""
"Alessio Guyon","K1H","110.66","744.79","778.92",""
"Alexandre L'huillier","K1H","112.49","815.51","808.26",""
