"Manche 5 de la Coupe de France National 1 Slalom - 05120 L Argentiere La Bessee - Qualification - 2024-05-10","05120 L Argentiere La Bessee","Qualification","qualif","2024-05-10","Nationale 1","200"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Doriane Delassus","C1D","103.14","88.77","60.14",""
"Lucie Prioux","C1D","105.1","116.61","79.61",""
"Nina Pesce-roue","C1D","107.64","165.96","104.84",""
"Perrine Joubert","C1D","108.28","229.8","111.2",""
"Eyleen Vuilleumier","C1D","108.93","278.82","117.66",""
"Fanchon Janssen","C1D","110.8","157.68","136.23",""
"Zoe Laurent","C1D","115.74","130.76","185.31",""
"LÉna Quemerais","C1D","118.42","200.53","211.93",""
"Ella Bregazzi","C1D","119.83","177.19","225.93",""
"Camille Brugvin","C1D","124.21","342.89","269.44",""
"Honorine Pichard","C1D","124.36","312.25","270.93",""
"Romane Regnier","C1D","125.79","164.15","285.14",""
"Ester Narduzzi","C1D","125.97","360.94","286.93",""
"Laurine Salesse","C1D","126.06","161.25","287.82",""
"Lili Ulmer","C1D","127.17","370.67","298.85",""
"Rozmarina Estanguet","C1D","130.83","267.17","335.2",""
"Suzanne Brossard","C1D","131.8","336.53","344.83",""
"Eva Marchand","C1D","141.32","399.81","439.41",""
"Anna Munch","C1D","146.19","369.11","487.78",""
"Judith Locatelli","C1D","164.02","278.48","664.89",""
"Margot Lapeze","C1D","167.16","326.48","696.09",""
"Laurene Roisin","C1D","174.13","94.85","765.32",""
"Adelie Courrech Du Pont","C1D","183.98","323.91","863.17",""
"Laurette Laly","C1D","192.83","308.96","951.08",""
"Clara Sedrue","C1D","210.38","313.98","1125.42",""
"Youlia Estanguet","C1D","219.65","171.55","1217.5",""
"Julia Budzinski","C1D","223.4","208.68","1254.75",""
"Emilie Moret","C1D","254.58","295.74","1564.48",""
"Suzel Cayrat","C1D","310.48","436.63","2119.75",""
"Oceane Sedrue","C1D","317.45","575.92","2189.0",""
"LÉonie Andre-conduret","C1D","467.58","533.6","3680.31",""
"Martin Thomas","C1H","91.51","86.83","74.48",""
"Jason Brothier","C1H","92.41","133.11","84.69",""
"Anatole Delassus","C1H","93.35","174.36","95.37",""
"Yves Bourhis","C1H","93.84","105.4","100.93",""
"Yohann Senechault","C1H","94.05","69.07","103.31",""
"Hugo Latimier","C1H","94.52","115.5","108.65",""
"Tanguy Adisson","C1H","94.56","76.13","109.1",""
"Lucas Roisin","C1H","94.73","95.53","111.03",""
"Adrien Fischer","C1H","94.9","64.32","112.96",""
"Julien Pajaud","C1H","95.35","126.62","118.07",""
"Mathurin Madore","C1H","95.74","174.49","122.5",""
"Elouan Debliquy","C1H","96.17","114.87","127.38",""
"Titouan Estanguet","C1H","96.83","103.45","134.87",""
"Valentin Marteil","C1H","96.92","117.49","135.89",""
"Hector Combes","C1H","97.0","120.4","136.8",""
"Cyrian Menuat","C1H","97.09","208.35","137.82",""
"Antoine Guerne","C1H","97.3","214.52","140.21",""
"Glen Le Meur","C1H","98.18","89.34","150.2",""
"Aurelien Merieux Danneaux","C1H","98.22","179.93","150.65",""
"Tomy Dandonneau","C1H","98.36","135.45","152.24",""
"Quentin Maillefer","C1H","98.59","114.39","154.85",""
"Matheo Senechault","C1H","99.11","236.48","160.76",""
"Marc Sarramea","C1H","99.27","101.85","162.57",""
"Alois Brucher","C1H","99.38","199.31","163.82",""
"Yvan Leblond","C1H","100.08","316.63","171.77",""
"Timothee Cornu","C1H","100.74","194.1","179.26",""
"Jules Latimier","C1H","100.89","125.21","180.96",""
"Paul Cascarino","C1H","101.45","131.84","187.32",""
"Pierre Antoine Tillard","C1H","101.69","138.06","190.05",""
"Valerian Descot","C1H","101.79","203.33","191.18",""
"Loic Trenchant","C1H","102.96","158.2","204.46",""
"Jean Pierre Bourhis","C1H","102.97","120.72","204.58",""
"Clement Brotier","C1H","103.74","160.97","213.32",""
"Emilien Kempf","C1H","104.51","209.71","222.06",""
"Nicolas Ducrocq","C1H","104.61","169.01","223.2",""
"Timeo Triomphe","C1H","104.91","288.96","226.6",""
"Colin Floch","C1H","104.92","267.94","226.71",""
"Thibault Blaise","C1H","106.33","191.93","242.73",""
"Yuha Egraz","C1H","106.42","255.65","243.74",""
"Felix Chevallier","C1H","107.71","234.76","258.39",""
"Gireg Hamoniaux","C1H","108.18","186.0","263.73",""
"Emilien Courtiade","C1H","108.33","199.01","265.42",""
"Corentin Oulhen","C1H","109.24","153.63","275.76",""
"Etienne Daille","C1H","110.74","204.59","292.79",""
"Alexandre Ghirardi","C1H","111.61","276.9","302.66",""
"Sacha Menard","C1H","114.53","315.46","335.81",""
"Louison Decarsin","C1H","116.12","193.3","353.86",""
"Leo Ulmer","C1H","124.93","170.45","453.88",""
"Charly Chassigneux","C1H","129.35","267.31","504.05",""
"Martin Cornu","C1H","146.69","71.3","700.91",""
"Jules Bernardet","C1H","151.09","55.69","750.86",""
