"Sélectif Régional Slalom (Double) - 07190 St Sauveur De Montagut - Course n°4 - 2024-09-22","07190 St Sauveur De Montagut","Course n°4","","2024-09-22","Régional","64"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emmelyne Sauvagnac","C1D","115.44","296.61","457.09",""
"Sidonie Duterage","C1D","130.2","482.13","638.97",""
"Morgane Liorey","C1D","134.78","739.5","695.42",""
"Ceren Avcu","C1D","134.89","743.07","696.76",""
"Alice Baptiste","C1D","139.19","768.24","749.76",""
"Melyne Tappero","C1D","139.56","685.89","754.32",""
"Miriame Dlimi","C1D","163.11","922.52","1044.52",""
"Angela Phommavongsa","C1D","169.82","1231.72","1127.21",""
"Dilara Onur","C1D","173.27","1437.77","1169.73",""
"Maeline Flamant","C1D","188.83","1509.99","1361.46",""
"Baptiste Delaplace","C1H","94.58","186.79","366.53",""
"Simon Baptiste","C1H","107.82","487.41","553.0",""
"Louis Duffours","C1H","113.86","565.57","638.06",""
"Nino Pons","C1H","115.85","727.94","666.08",""
"Yannis Bouchalta","C1H","119.37","781.56","715.66",""
"Jules Pomi","C1H","125.29","815.36","799.03",""
"MiraÇ Gulec","C1H","141.78","907.07","1031.27",""
"Gaspard Deville  Russias","C1H","156.2","1047.61","1234.35",""
"Sacha Lelardoux","C1H","204.3","1210.76","1911.75",""
"Thomas Retailleau-Yannis Bouchalta","C2H","137.67","869.11","885.26",""
"Robin Perono-Nathan Boisson","C2H","178.0","2672.45","1427.42",""
"Nino Pons-Alice Baptiste","C2M","140.88","798.63","770.58",""
"Emmelyne Sauvagnac","K1D","104.0","306.44","395.5",""
"Marie Borlet","K1D","119.45","464.6","597.69",""
"Melyne Tappero","K1D","120.76","551.3","614.83",""
"Morgane Liorey","K1D","121.02","593.06","618.23",""
"Sidonie Duterage","K1D","125.54","564.46","677.38",""
"Christel Pellicier","K1D","126.74","962.02","693.08",""
"Ceren Avcu","K1D","129.49","720.27","729.07",""
"Louise Duterage","K1D","130.5","708.94","742.29",""
"Miriame Dlimi","K1D","132.03","773.49","762.32",""
"Sophie Duterage","K1D","134.19","678.69","790.58",""
"Maeline Flamant","K1D","136.49","1126.44","820.68",""
"Angela Phommavongsa","K1D","137.19","867.56","829.84",""
"Julie Fournely","K1D","141.47","829.42","885.85",""
"Dilara Onur","K1D","148.7","908.78","980.46",""
"Eloise Durand","K1D","148.94","962.31","983.6",""
"Albane Puech","K1D","213.17","2102.38","1824.14",""
"Titouan Duraffourg","K1H","90.47","255.76","372.35",""
"Jean Philippe Roche","K1H","93.01","413.29","409.91",""
"Thomas Retailleau","K1H","93.07","414.98","410.8",""
"Lucas Mathevet","K1H","94.47","400.16","431.5",""
"Louis Duffours","K1H","95.2","389.6","442.3",""
"Simon Baptiste","K1H","96.16","403.97","456.5",""
"Damien Chamblay","K1H","97.39","488.93","474.68",""
"Yannis Bouchalta","K1H","98.06","498.63","484.59",""
"Nino Pons","K1H","99.13","589.55","500.41",""
"Sebastien Lepaulard","K1H","104.6","458.97","581.3",""
"Jules Pomi","K1H","109.21","639.51","649.47",""
"Paco Keller","K1H","112.78","544.88","702.26",""
"Laurent Brossat","K1H","114.51","659.59","727.85",""
"Louison Folliot","K1H","117.54","1252.74","772.65",""
"Jao Thury Bouvet","K1H","119.25","854.26","797.94",""
"Mael Carbonnel","K1H","124.31","915.84","872.76",""
"Antoine Deshayes","K1H","124.62","820.63","877.35",""
"MiraÇ Gulec","K1H","126.15","781.93","899.97",""
"Nathan Boisson","K1H","126.3","917.01","902.19",""
"Francois Lecuit","K1H","126.67","908.9","907.66",""
"Gaspard Deville  Russias","K1H","128.23","1087.34","930.73",""
"Merlin Rebeuze","K1H","128.88","959.99","940.34",""
"Sacha Lelardoux","K1H","129.0","944.65","942.12",""
"Robin Perono","K1H","130.35","894.23","962.08",""
"Thierry Duterage","K1H","130.36","738.78","962.23",""
"Michel Claveau","K1H","135.51","866.14","1038.39",""
