"Sélectif Régional de Slalom - 22300 Lannion - Course n°1 - 2024-12-01","22300 Lannion","Course n°1","","2024-12-01","Régional","205"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Romane Regnier","C1D","119.98","176.98","184.87",""
"Camille Castryck","C1D","122.31","115.67","207.59",""
"LÉna Quemerais","C1D","123.26","168.69","216.86",""
"Honorine Pichard","C1D","127.68","288.14","259.95",""
"Klara Lubin","C1D","138.29","583.32","363.41",""
"Nina Vandame","C1D","139.86","540.6","378.72",""
"Lenaig Le Felt","C1D","140.19","522.53","381.94",""
"Clara Perrot","C1D","145.78","667.69","436.44",""
"Kim Agnimo Seyer","C1D","145.91","636.52","437.71",""
"Angele Mousson","C1D","148.6","651.66","463.94",""
"Mewen Debliquy","C1H","100.84","59.2","138.71",""
"Glen Le Meur","C1H","102.2","88.9","153.87",""
"Martin Cornu","C1H","102.46","42.96","156.76",""
"Elouan Debliquy","C1H","104.34","107.12","177.71",""
"Corentin Oulhen","C1H","104.37","140.98","178.05",""
"Timothee Cornu","C1H","109.35","188.54","233.55",""
"Tomy Dandonneau","C1H","109.53","132.52","235.55",""
"Marin Salmon","C1H","109.66","329.99","237.0",""
"Maxime Metay","C1H","109.96","341.54","240.34",""
"Axel Brossat","C1H","110.57","276.87","247.14",""
"Timothe Balbous","C1H","111.86","381.39","261.51",""
"Gurvan Piton","C1H","112.19","386.49","265.2",""
"Tom Bouchardon","C1H","113.26","392.56","277.12",""
"Gabin Mesnil","C1H","114.31","344.46","288.82",""
"Faysal Ali Zazou","C1H","114.5","319.29","290.94",""
"Arthur Malard","C1H","116.2","452.62","309.88",""
"Aurele Neveu","C1H","116.26","409.02","310.55",""
"Joachim Berthelot","C1H","116.55","465.55","313.78",""
"Matthis Fradin","C1H","116.68","361.58","315.23",""
"Louka Molina-combot","C1H","117.95","440.31","329.38",""
"Titouan Briand","C1H","120.44","481.59","357.13",""
"Liam Le Touze","C1H","120.96","-","362.92",""
"Titouan Aussant","C1H","121.08","464.92","364.26",""
"Victor Julou Feger","C1H","122.54","449.81","380.53",""
"Titouan Collet","C1H","122.55","615.76","380.64",""
"Enzo Cozette","C1H","122.81","577.1","383.54",""
"Noah Hebert","C1H","123.82","491.78","394.8",""
"Paul Gestin","C1H","123.95","513.43","396.25",""
"Charly Line","C1H","124.47","528.04","402.04",""
"Florian Lohezic","C1H","125.27","586.42","410.95",""
"Clement Olivier","C1H","126.7","1027.84","426.89",""
"Titouan Vigouroux","C1H","128.7","528.78","449.17",""
"Corentin Delafoy","C1H","131.7","641.91","482.61",""
"Jules Piel","C1H","133.23","706.94","499.66",""
"Loan Beaucourt","C1H","134.8","596.44","517.15",""
"Cedric Collet","C1H","135.01","652.06","519.49",""
"Sasha Pontillo","C1H","137.9","803.46","551.69",""
"Theo Huet","C1H","139.4","887.78","568.41",""
"Yoann Manac'h-goasampis","C1H","142.26","-","600.29",""
"Mael Rousset","C1H","153.09","674.14","720.97",""
"Baptiste Blanchard-fougeroux","C1H","162.15","-","821.94",""
"Nolhan Le Rouzes","C1H","170.3","-","912.75",""
"Evan Roger","C1H","195.8","761.0","1196.91",""
"Julien Caillarec","C1H","211.31","656.21","1369.76",""
"Lenny Rigot","C1H","288.0","1306.46","2224.37",""
"Victor Julou Feger-Loan Beaucourt","C2H","144.45","543.46","551.52",""
"Achille Francoise-Jules Lecoeur","C2H","149.46","935.11","604.81",""
"Florian Lohezic-Iwen Robic","C2H","156.67","-","681.5",""
"Pacome Michel-Clara Perrot","C2M","150.17","858.02","479.25",""
"David Breton-Jade Le Pesq","C2M","286.37","864.84","1807.3",""
"Romane Regnier","K1D","109.56","198.71","149.45",""
"Margaux Fabijan","K1D","111.59","322.96","170.47",""
"Camille Castryck","K1D","112.48","163.98","179.68",""
"LÉna Quemerais","K1D","115.24","128.21","208.26",""
"Sarah Despres","K1D","115.77","373.28","213.75",""
"Anne Boixel","K1D","117.48","304.63","231.46",""
"Nina Vandame","K1D","118.26","410.21","239.54",""
"Kim Agnimo Seyer","K1D","120.63","355.38","264.07",""
"Estelle Hellard","K1D","122.25","375.46","280.85",""
"Honorine Pichard","K1D","123.0","384.35","288.62",""
"Lenaig Le Felt","K1D","123.99","560.2","298.87",""
"Klara Lubin","K1D","124.84","470.52","307.67",""
"Nagwa Lanchec El Desouki","K1D","126.87","-","328.69",""
"Clara Perrot","K1D","127.67","467.55","336.97",""
"Angele Mousson","K1D","137.92","644.24","443.11",""
"Sylviane Quemerais","K1D","139.64","582.37","460.92",""
"Veronique Vourch","K1D","142.21","575.5","487.54",""
"Juliette Gohin","K1D","151.6","631.49","584.76",""
"Zoe Guyomard","K1D","153.72","593.63","606.71",""
"Anouck Collet","K1D","154.43","760.6","614.07",""
"Jade Le Pesq","K1D","158.91","639.47","660.45",""
"Ines Lekeux","K1D","161.34","617.65","685.62",""
"Lylou Lubin","K1D","164.2","848.06","715.24",""
"Aurelie Hall","K1D","168.2","829.76","756.66",""
"Laurine Le Loc'h","K1D","172.26","945.84","798.69",""
"Lily Rersa","K1D","182.06","4838.49","900.17",""
"Abigaelle Le Corre","K1D","187.13","955.1","952.67",""
"Gwendoline Hall","K1D","190.39","775.04","986.43",""
"Laelie Goudard","K1D","206.01","924.95","1148.17",""
"Emma Le Paire","K1D","219.87","629.39","1291.68",""
"Olivia Guillouzo","K1D","274.68","1015.76","1859.23",""
"Bleuen Olivier","K1D","295.83","1291.39","2078.22",""
"Eileen Moign","K1D","391.02","1294.61","3063.89",""
"Aziliz Lemouillour","K1D","413.89","-","3300.71",""
"Martin Cornu","K1H","91.69","71.27","87.83",""
"Jonas Le Guen","K1H","96.55","122.35","144.7",""
"Mewen Debliquy","K1H","96.67","143.29","146.1",""
"Hugo Regnier","K1H","97.48","84.99","155.58",""
"Mathieu Desnos","K1H","97.63","145.51","157.34",""
"Tom Bouchardon","K1H","97.87","93.32","160.15",""
"Elouan Debliquy","K1H","98.08","102.28","162.6",""
"Liam Le Touze","K1H","98.33","198.94","165.53",""
"Celio Chevallier","K1H","98.96","194.08","172.9",""
"Axel Brossat","K1H","101.34","93.53","200.75",""
"Pierric Clipet","K1H","102.38","244.81","212.92",""
"Paul Gestin","K1H","103.04","281.73","220.64",""
"Timothee Cornu","K1H","104.03","293.2","232.22",""
"Maxime Metay","K1H","104.46","330.29","237.25",""
"Arthur Malard","K1H","105.02","360.47","243.81",""
"Enzo Cozette","K1H","105.11","364.9","244.86",""
"Louka Molina-combot","K1H","105.23","313.03","246.26",""
"Matthis Fradin","K1H","105.39","397.95","248.14",""
"Glen Le Meur","K1H","106.79","224.27","264.52",""
"Titouan Briand","K1H","107.05","396.66","267.56",""
"Gurvan Piton","K1H","107.85","299.62","276.92",""
"Clement Olivier","K1H","107.91","378.08","277.62",""
"Joachim Berthelot","K1H","108.36","355.32","282.89",""
"Victor Julou Feger","K1H","108.37","390.56","283.01",""
"Nicolas Mevel","K1H","108.45","374.36","283.94",""
"Titouan Aussant","K1H","108.89","388.96","289.09",""
"Romain Guyomard","K1H","109.23","365.24","293.07",""
"Gabin Mesnil","K1H","109.61","300.02","297.51",""
"Didier Rouet","K1H","109.69","783.04","298.45",""
"Julien Dosse","K1H","109.7","419.74","298.57",""
"Timothe Balbous","K1H","109.92","351.42","301.14",""
"Corentin Delafoy","K1H","110.19","527.69","304.3",""
"Pierre Le Corvaisier","K1H","110.23","400.28","304.77",""
"Lionel Tinevez","K1H","112.8","486.54","334.84",""
"Cesar Le Berder","K1H","112.86","-","335.54",""
"Nicolas Coudert","K1H","113.12","416.52","338.58",""
"Vincent Gourmel","K1H","113.33","403.69","341.04",""
"Noah Hebert","K1H","113.74","391.82","345.84",""
"Adrien Pierre","K1H","113.76","408.36","346.07",""
"Come Le Gal","K1H","113.87","404.78","347.36",""
"Frederic Castryck","K1H","113.95","-","348.3",""
"Zelio Goater","K1H","114.58","359.7","355.67",""
"Florian Szabo","K1H","115.18","459.48","362.69",""
"Achille Francoise","K1H","115.22","639.43","363.16",""
"Nicolas Carduner","K1H","115.63","417.36","367.95",""
"Pierre Portais","K1H","115.77","452.64","369.59",""
"Titouan Vigouroux","K1H","115.79","448.53","369.83",""
"Iwen Robic","K1H","115.85","417.2","370.53",""
"Florian Lohezic","K1H","116.12","514.87","373.69",""
"Jules Lecoeur","K1H","116.13","568.85","373.8",""
"Charly Line","K1H","116.9","482.18","382.81",""
"Loan Beaucourt","K1H","117.39","469.25","388.55",""
"Francois Adam","K1H","117.47","494.12","389.48",""
"Gwenael Marquer","K1H","118.22","499.01","398.26",""
"Sasha Pontillo","K1H","118.37","659.42","400.01",""
"Marin Moreau","K1H","118.74","444.42","404.34",""
"Jules Lescarmontier","K1H","119.76","580.38","416.28",""
"Augustin Jaujay","K1H","120.13","515.45","420.61",""
"Titouan Collet","K1H","120.86","610.7","429.15",""
"Youn Roger","K1H","121.0","503.53","430.79",""
"Pacome Michel","K1H","121.23","383.91","433.48",""
"Sacha Line","K1H","123.06","625.9","454.89",""
"Florian Manceau","K1H","123.26","555.55","457.23",""
"Enoha Fejean Bideau","K1H","123.26","602.48","457.23",""
"Julien Caillarec","K1H","123.6","520.31","461.21",""
"Stephane Debliquy","K1H","123.91","556.94","464.84",""
"RaphaËl Labbe","K1H","123.91","567.35","464.84",""
"David Breton","K1H","124.53","542.79","472.09",""
"Alain Droniou","K1H","125.03","624.71","477.94",""
"Zadig Preney","K1H","125.28","688.09","480.87",""
"Vincent Salmon","K1H","125.38","651.47","482.04",""
"Jules Piel","K1H","126.37","693.63","493.62",""
"Sacha Renault Le Nancq","K1H","126.65","627.9","496.9",""
"Evan Roger","K1H","127.06","524.53","501.69",""
"Noe Beaucourt","K1H","128.2","752.97","515.03",""
"Theophile Gaillard","K1H","128.48","721.11","518.31",""
"Erwann Le Jeune","K1H","128.82","866.61","522.29",""
"Alexys Jouannic","K1H","131.4","900.09","552.48",""
"Theo Huet","K1H","133.81","745.43","580.68",""
"Guillaume Huppert","K1H","134.14","577.1","584.54",""
"LÉo Lubin","K1H","134.74","686.27","591.56",""
"Damien Germier","K1H","136.02","1036.8","606.53",""
"Samuel Petibon","K1H","140.23","615.42","655.8",""
"Nino Milon","K1H","140.95","860.78","664.22",""
"Julien Perros","K1H","142.29","739.86","679.9",""
"Soen Le Ray","K1H","143.1","1515.62","689.38",""
"Bastien Jeglot","K1H","143.59","766.49","695.11",""
"TimothÉ Le Beuvant","K1H","143.78","904.78","697.33",""
"Paul Gauden","K1H","143.86","-","698.27",""
"Titouan Quentin","K1H","147.62","971.65","742.26",""
"Eloi Nicolas","K1H","147.67","771.51","742.85",""
"Elouann De La Bourdonnaye","K1H","148.01","827.02","746.83",""
"Baptiste Blanchard-fougeroux","K1H","148.31","847.49","750.34",""
"Malwen Guerard","K1H","149.2","987.95","760.75",""
"Tom Morel","K1H","150.83","845.19","779.82",""
"Cyprien Rescourio","K1H","158.51","1132.8","869.69",""
"Colas Kerbourch","K1H","165.8","833.62","954.99",""
"Marin Glaizot","K1H","167.31","784.47","972.65",""
"Louis Girard","K1H","173.72","1011.88","1047.66",""
"Lenny Rigot","K1H","179.65","1170.7","1117.04",""
"Yann Eldin","K1H","194.67","810.05","1292.79",""
"Jules Vanderhaghen","K1H","203.36","594.36","1394.47",""
"Clement Edeline Fouchard","K1H","247.5","1157.97","1910.95",""
"Nolann Gallon","K1H","261.33","1006.06","2072.77",""
"Ronan Tchilinguirian","K1H","271.8","-","2195.28",""
"Yanis Thepaut","K1H","288.53","931.03","2391.04",""
"Mehdi Outlilit","K1H","308.34","-","2622.83",""
"Liam Besse","K1H","311.36","1349.98","2658.17",""
"Gaspard Morvan","K1H","312.86","1037.12","2675.72",""
"Paul Saout","K1H","314.86","4648.42","2699.12",""
"Corentin Biger","K1H","447.92","1911.7","4256.04",""
