"SÈlectif RÈgional de Slalom - 77200 Torcy - Course n∞1 - 2024-12-01","77200 Torcy","Course n∞1","","2024-12-01","RÈgional","192"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Amaurie Guilleret","C1D","114.48","366.27","293.92",""
"Adelie Courrech Du Pont","C1D","116.14","293.4","312.29",""
"Lina Belhaddad","C1D","116.24","325.11","313.4",""
"Nelia Barbosa","C1D","116.39","272.71","315.06",""
"Laura Pellicer","C1D","119.57","170.89","350.26",""
"Irene Combes","C1D","119.99","419.06","354.91",""
"Morgane Gharbi-louyer","C1D","120.3","403.01","358.34",""
"Lucie Bollier","C1D","121.61","546.7","372.84",""
"Amal Renoux","C1D","122.02","402.89","377.37",""
"Clemence Debayle","C1D","123.25","534.53","390.98",""
"Alina Rassel","C1D","126.02","562.03","421.65",""
"Adele Charlaigre","C1D","128.19","852.99","445.66",""
"Celya Foucard","C1D","128.25","582.59","446.33",""
"Mathilde Roye","C1D","128.74","422.35","451.75",""
"Fany Marck","C1D","134.66","565.01","517.28",""
"Eva Martins","C1D","139.35","839.15","569.19",""
"Yona Heutte","C1D","140.15","705.25","578.04",""
"Swannah Wague","C1D","239.71","1456.25","1679.98",""
"Mathurin Madore","C1H","100.04","137.94","292.28",""
"Benoit Chantry","C1H","103.06","295.93","330.48",""
"Matheo Senechault","C1H","103.84","195.73","340.34",""
"Adrien Fischer","C1H","104.35","69.36","346.8",""
"Leo Roye","C1H","104.8","284.59","352.49",""
"Melvin Queudeville","C1H","111.4","825.53","435.97",""
"Damien Duchemin","C1H","112.53","-","450.26",""
"Leni Perreau","C1H","114.1","520.47","470.13",""
"Antonin Trotta","C1H","115.2","454.07","484.04",""
"Maxime Cousin","C1H","116.14","501.65","495.94",""
"Marc Sanchez","C1H","116.54","542.85","500.98",""
"Gaspard Vincent","C1H","116.57","513.77","501.37",""
"Nicolas Landemaine","C1H","117.82","-","517.19",""
"Theophile Vincent","C1H","119.51","601.69","538.56",""
"Edgar Duchemin","C1H","119.68","518.94","540.71",""
"James Lennon","C1H","121.75","612.66","566.89",""
"Louis-anis Chalbi-fabre","C1H","123.07","553.15","583.6",""
"Liam Simon","C1H","128.73","573.36","655.19",""
"Alain Brucher","C1H","128.92","883.8","657.59",""
"Tiago Durand-lavoine","C1H","130.28","699.32","674.79",""
"Victor Jacolot","C1H","131.01","841.77","684.02",""
"Ilyes Chaabi","C1H","131.72","783.77","693.01",""
"Xavier Perreau","C1H","132.71","942.5","705.52",""
"Jacques Nardeau","C1H","133.61","762.31","716.92",""
"Hugues Dervieux","C1H","136.18","809.12","749.42",""
"Samuel Machavoine","C1H","136.57","-","754.36",""
"Ewen Ami Philolaus","C1H","137.37","977.1","764.48",""
"Matheo Largy","C1H","138.12","1508.86","773.96",""
"Maceo Govea","C1H","139.38","1013.69","789.9",""
"Valentin Marteil","C1H","145.72","88.57","870.1",""
"Nattael Talbot","C1H","145.86","892.6","871.86",""
"Marc Cherance","C1H","146.4","948.22","878.7",""
"Cyprien Pohu","C1H","148.51","939.87","905.39",""
"Vincent Siouville","C1H","152.02","870.75","949.79",""
"Aurelien Levacher","C1H","152.19","1014.14","951.94",""
"Louaœ Chaabi","C1H","160.69","1797.86","1059.46",""
"Jack Simon","C1H","161.04","1577.46","1063.88",""
"Yanis Aoucheta","C1H","165.19","2213.71","1116.38",""
"Benjamin Sounack","C1H","168.98","1481.36","1164.32",""
"Joshua Ravet","C1H","188.6","-","1412.5",""
"Raphael Gomes Pestel","C1H","197.3","-","1522.55",""
"Nelia Barbosa-Nina Pesce-roue","C2D","139.46","395.26","451.67",""
"Anae Calleau-Maeven Froger","C2D","193.57","-","1004.5",""
"Alois Brucher-Matheo Senechault","C2H","123.76","-","521.16",""
"Francois Durand-Yves Souchal","C2H","156.19","1006.76","912.73",""
"Benjamin Sacher-Camille Vauzelle","C2H","157.81","1292.53","932.3",""
"Tom Pontvianne-Justin Deneuville","C2H","162.78","-","992.3",""
"Quentin De Narp-Martin Yochum","C2H","183.99","-","1248.4",""
"Pierre-louis Mingasson-Auriane Janssen Bennynck","C2M","147.36","772.96","657.84",""
"Celya Foucard-Benjamin Cabouret","C2M","156.63","781.22","760.44",""
"Jeremy Huguenin-Karelle Payen","C2M","166.91","-","874.23",""
"David Calleau-Anaœs Demulder","C2M","270.55","-","2021.33",""
"Nina Pesce-roue","K1D","92.3","103.25","111.71",""
"Clara Delahaye","K1D","98.37","141.3","183.06",""
"Irene Combes","K1D","99.87","305.94","200.69",""
"Laura Pellicer","K1D","100.3","163.05","205.74",""
"Adelie Courrech Du Pont","K1D","100.6","249.6","209.27",""
"Lina Belhaddad","K1D","102.41","251.35","230.54",""
"Lucie Bollier","K1D","103.46","329.41","242.89",""
"Amaurie Guilleret","K1D","106.23","374.31","275.44",""
"Emilie Lhomme","K1D","109.38","350.58","312.47",""
"Maeva Bachelot","K1D","109.88","274.25","318.34",""
"Alina Rassel","K1D","111.33","293.72","335.39",""
"Amal Renoux","K1D","111.49","331.2","337.27",""
"Clemence Debayle","K1D","113.47","441.01","360.54",""
"Fany Marck","K1D","116.62","643.55","397.57",""
"Ophelie Delaplace","K1D","116.69","-","398.38",""
"Celya Foucard","K1D","116.69","487.46","398.38",""
"Solene Cantet","K1D","118.44","572.05","418.96",""
"Adele Charlaigre","K1D","119.75","433.68","434.35",""
"Maelys Talbot","K1D","120.14","626.58","438.94",""
"Anae Calleau","K1D","121.09","571.26","450.1",""
"Karelle Payen","K1D","121.25","602.77","451.99",""
"Maeven Froger","K1D","124.18","639.16","486.43",""
"Auriane Janssen Bennynck","K1D","124.6","799.85","491.35",""
"Eva Martins","K1D","128.02","645.17","531.56",""
"Emma Cuthbert","K1D","132.49","-","584.1",""
"Imane Oufara","K1D","132.69","932.79","586.45",""
"Yona Heutte","K1D","136.06","728.39","626.06",""
