"Championnat Régional de Slalom - 97470 St Benoit - Course n°2 - 2024-12-14","97470 St Benoit","Course n°2","","2024-12-14","Régional","27"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lilo Bedoire","C1D","168.58","823.4","603.88",""
"Lily Biso","C1D","177.1","932.19","683.03",""
"Gabriel Raggi","C1H","118.11","193.91","291.77",""
"Tilio Le Ray","C1H","128.49","500.35","401.97",""
"Riwal Le Ray","C1H","129.6","325.99","413.76",""
"Liam Dias","C1H","156.32","612.95","697.44",""
"Ethan Almar","C1H","203.8","694.05","1201.54",""
"Lily Biso","K1D","141.23","529.05","431.08",""
"Lilo Bedoire","K1D","148.07","738.02","498.55",""
"Pauline Narbaud","K1D","193.9","957.65","950.69",""
"Mathis Soudi","K1H","105.31","61.76","211.77",""
"Leo Grollier","K1H","121.25","719.47","389.47",""
"Tilio Le Ray","K1H","122.12","385.03","399.17",""
"Riwal Le Ray","K1H","122.14","228.45","399.39",""
"Noah Biso","K1H","122.37","326.28","401.96",""
"Elouan Fages Oria","K1H","122.42","375.69","402.52",""
"Gabriel Raggi","K1H","125.89","406.9","441.2",""
"Alexandre Bordas","K1H","127.61","420.68","460.37",""
"Alan De Schouwer","K1H","129.95","452.81","486.46",""
"Liam Dias","K1H","133.16","587.31","522.24",""
"Ethan Almar","K1H","143.56","835.29","638.18",""
"Tiphaine Vaillant","K1H","145.54","649.85","660.25",""
"Kenzo Niobe","K1H","183.43","2801.29","1082.65",""
"Ayden Randrianavalona","K1H","194.13","1008.73","1201.93",""
"Esteban Durnerin","K1H","194.93","1411.44","1210.85",""
"Tristan Lauret","K1H","238.56","1028.49","1697.23",""
"Dayan Niobe","K1H","481.66","5118.72","4407.29",""
