"Sélectif Régional Slalom (Double) - 42520 St Pierre De Boeuf - Course n°3 - 2025-01-26","42520 St Pierre De Boeuf","Course n°3","","2025-01-26","Régional","162"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lou Carbon","C1D","112.85","483.62","355.98",""
"Emmelyne Sauvagnac","C1D","114.73","301.67","378.07",""
"Marie - Lou Cote","C1D","116.13","488.47","394.53",""
"Gladys Dupuis","C1D","117.33","608.68","408.63",""
"Oriane Christin","C1D","122.4","598.69","468.23",""
"Melyne Tappero","C1D","129.99","650.47","557.44",""
"Morgane Liorey","C1D","135.76","702.39","625.26",""
"Romane Breuzard","C1D","141.91","627.47","697.54",""
"Alice Baptiste","C1D","145.35","716.64","737.98",""
"Zelia Touzet","C1D","147.39","736.57","761.96",""
"Ceren Avcu","C1D","150.62","675.46","799.93",""
"Alessandra Deleplanque","C1D","151.34","1597.32","808.39",""
"Miriame Dlimi","C1D","153.28","877.04","831.19",""
"Angela Phommavongsa","C1D","154.11","943.98","840.95",""
"Dilara Onur","C1D","162.93","1129.31","944.62",""
"Apheya Egraz","C1D","174.78","931.21","1083.9",""
"Maeline Flamant","C1D","192.41","1133.85","1291.13",""
"Emeric Nieser","C1H","92.14","215.54","267.27",""
"Baptiste Delaplace","C1H","92.53","199.68","272.5",""
"Cedric Passas","C1H","105.09","601.43","441.23",""
"Matis Hernu","C1H","105.41","571.79","445.52",""
"Thomas Levert","C1H","106.26","355.23","456.94",""
"Titouan Carbon","C1H","106.36","360.31","458.28",""
"Simon Baptiste","C1H","106.75","460.32","463.53",""
"Joel Betti","C1H","108.9","533.36","492.4",""
"Romain Bertrand","C1H","112.37","434.66","539.02",""
"Nino Pons","C1H","112.54","717.38","541.3",""
"Yaël Normand","C1H","113.87","602.04","559.17",""
"Florian Vigne","C1H","116.75","606.88","597.85",""
"Taho Ferrier","C1H","117.33","731.08","605.65",""
"Jules Pomi","C1H","118.02","780.67","614.92",""
"Valentin Gall","C1H","121.84","749.86","666.23",""
"Gatien Crochet","C1H","127.32","890.16","739.84",""
"Tilio Magnani","C1H","128.58","835.12","756.77",""
"Timothe Alonso","C1H","129.0","776.75","762.41",""
"Nael Faure Brac","C1H","131.11","694.8","790.76",""
"Elouan Detheve","C1H","141.1","1019.78","924.95",""
"Ernesto Izzillo Coing","C1H","141.62","991.39","931.94",""
"Alexei Evlachev","C1H","150.83","1183.96","1055.66",""
"Natan Destouches","C1H","151.85","1612.91","1069.36",""
"Sacha Lelardoux","C1H","166.06","1092.62","1260.24",""
"Gaspard Deville Russias","C1H","170.11","875.48","1314.66",""
"Ceren Avcu-Morgane Liorey","C2D","193.67","976.53","1130.83",""
"Dilara Onur-Angela Phommavongsa","C2D","211.6","1342.89","1325.36",""
"Cedric Passas-Romain Bertrand","C2H","129.91","-","695.31",""
"Tylo Egraz-Shems'dine Et Taiy","C2H","137.15","752.01","788.15",""
"Timothe Alonso-Tao Tomaselli","C2H","143.33","1013.42","867.39",""
"Paul Perrollier-Leo Jouvray","C2H","174.97","2158.46","1273.1",""
"Davy Egraz-Fanny Mino-vercellio","C2M","139.32","583.04","667.1",""
"Lou Ann Vuilleumier","K1D","99.68","268.09","273.75",""
"Eyleen Vuilleumier","K1D","100.12","187.54","279.25",""
"Viviana Daille","K1D","101.51","259.55","296.6",""
"Marie - Lou Cote","K1D","104.42","426.07","332.92",""
"Lou Carbon","K1D","105.0","398.53","340.16",""
"Emmelyne Sauvagnac","K1D","106.72","328.01","361.63",""
"Marion Pasquali","K1D","107.02","432.74","365.37",""
"Lou Ourmieres","K1D","109.97","435.37","402.2",""
"Gladys Dupuis","K1D","111.38","590.15","419.8",""
"Zelia Touzet","K1D","112.39","550.83","432.4",""
"Oriane Christin","K1D","112.62","545.69","435.27",""
"Aelys Detheve","K1D","114.93","524.14","464.11",""
"Ameline Saunier","K1D","115.36","684.66","469.47",""
