"Sélectif Régional Slalom (Double) - 85610 Cugand - Course n°2 - 2025-02-02","85610 Cugand","Course n°2","","2025-02-02","Régional","84"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Zoe Malval","C1D","131.2","573.42","401.59",""
"Romane Bronchet","C1D","134.43","2042.91","435.44",""
"Rachel Clavreul-zerbib","C1D","139.54","467.95","488.97",""
"Justine Bossard","C1D","156.46","1067.18","666.26",""
"Sacha Menard","C1H","111.35","286.68","360.28",""
"Felix Bernier","C1H","118.54","419.39","446.37",""
"Robin Guignard","C1H","119.68","314.98","460.03",""
"Francois Poirier","C1H","131.73","896.1","604.33",""
"Titouan Clenet","C1H","134.89","781.08","642.17",""
"Meven Le Berre","C1H","138.93","738.5","690.54",""
"Baptiste Gobin","C1H","142.4","703.17","732.1",""
"Lohan Goulhot","C1H","142.71","873.48","735.81",""
"Maxence Segaud","C1H","147.04","1271.11","787.66",""
"Evan Odot","C1H","149.45","976.64","816.52",""
"Noah Benisty Madec","C1H","177.21","1375.55","1148.95",""
"Noam Aguesse","C1H","178.11","1110.29","1159.73",""
"Gabriel Millier","C1H","179.12","1050.44","1171.82",""
"Baptiste Gaubert","C1H","202.16","1409.74","1447.72",""
"Antoine Renaudineau","C1H","207.15","1364.01","1507.49",""
"Antoine Tellier","C1H","207.67","1411.65","1513.71",""
"Myriam Le Joncourt-Zoe Malval","C2D","145.43","434.21","433.47",""
"Natael Curutchet-Marin Segaud","C2H","159.65","897.05","851.76",""
"Myriam Le Joncourt","K1D","111.22","300.17","264.43",""
"Zoe Malval","K1D","118.61","335.04","346.66",""
"Rachel Clavreul-zerbib","K1D","119.63","358.96","358.01",""
"Romane Bronchet","K1D","120.35","526.95","366.02",""
"Justine Bossard","K1D","139.02","649.24","573.77",""
"Louise Landerretche","K1D","147.83","715.01","671.8",""
"Nora Curutchet","K1D","154.26","758.59","743.34",""
"Kahina AÏt Oufkir","K1D","159.3","854.62","799.42",""
"Valentine Rousseau","K1D","235.6","1886.66","1648.44",""
"Maxence Davy","K1H","94.14","105.8","210.55",""
"Clément Davy","K1H","94.38","137.47","213.57",""
"Max Derame","K1H","98.45","153.83","264.75",""
"Romain Margerie","K1H","102.58","202.3","316.68",""
"Sacha Menard","K1H","102.82","265.33","319.69",""
"Nicolas Rouleaud","K1H","104.19","341.06","336.92",""
"Theodore Favreau","K1H","105.77","428.46","356.79",""
"Matheo Coquel","K1H","109.48","524.26","403.44",""
"Jerome Marchais","K1H","110.24","472.36","412.99",""
"Jacques Despierres","K1H","111.74","448.21","431.85",""
"Evan Odot","K1H","112.13","540.53","436.76",""
"Denis Guilmard","K1H","112.69","467.05","443.8",""
"Bastian Pichon","K1H","113.16","571.34","449.71",""
"Francois Poirier","K1H","115.3","493.05","476.61",""
"Titouan Clenet","K1H","115.83","687.31","483.28",""
"Lohan Goulhot","K1H","116.5","689.58","491.7",""
"Yann Vergelin","K1H","116.87","494.45","496.36",""
"Marin Segaud","K1H","117.32","579.73","502.01",""
"Tibaud Magniette","K1H","117.41","548.9","503.14",""
"Raphael Debaize-michaux","K1H","117.73","701.3","507.17",""
"Raphael Garnier-albert","K1H","118.06","656.84","511.32",""
"Stephane Odot","K1H","118.2","558.17","513.08",""
"Aubin Cherre","K1H","118.79","429.95","520.5",""
"Philippe Rocher","K1H","124.48","691.36","592.04",""
"Axel Brin","K1H","125.5","541.62","604.87",""
"Augustin Blin","K1H","126.48","750.14","617.19",""
"Baptiste Gobin","K1H","127.06","782.96","624.48",""
"Meven Le Berre","K1H","129.13","567.99","650.51",""
"Eluan Michineau","K1H","129.34","931.31","653.15",""
"Liam Guilgault","K1H","131.36","769.36","678.55",""
"Noam Aguesse","K1H","133.91","1001.26","710.61",""
"Achille Niclair","K1H","133.91","864.22","710.61",""
"Arthur Cartier","K1H","135.74","740.9","733.62",""
"Steeve Protais","K1H","136.76","742.83","746.45",""
"Cedric Paquereau","K1H","137.33","927.93","753.61",""
"Natael Curutchet","K1H","140.48","775.17","793.22",""
"Clement Chauvin","K1H","142.68","948.54","820.88",""
"Mathys Brossard","K1H","144.89","806.76","848.67",""
"Julien Gourdon","K1H","146.3","862.25","866.4",""
"Denis Delhommeau","K1H","146.49","811.79","868.79",""
"Marceau Juliot","K1H","146.94","880.11","874.45",""
"Noah Benisty Madec","K1H","148.5","1071.51","894.06",""
"Baptiste Doly","K1H","148.66","1002.92","896.07",""
"Gabriel Millier","K1H","149.83","830.02","910.79",""
"Marius Grignard","K1H","151.03","1161.31","925.87",""
"Baptiste Gaubert","K1H","152.22","1028.74","940.84",""
"Antoine Tellier","K1H","153.64","1211.67","958.69",""
"Charlie Bouec - Hamon","K1H","154.0","997.15","963.22",""
"Ryan Belnoue","K1H","154.75","1026.18","972.65",""
"Maxence Segaud","K1H","166.21","686.37","1116.74",""
"Yoann Brochard","K1H","175.19","692.44","1229.66",""
"Antoine Renaudineau","K1H","187.91","1432.04","1389.59",""
"Lucas Charrieau","K1H","336.74","2192.54","3260.94",""
