"Sélectif Régional de Slalom - 29300 Guilligomarc H - Course n°1 - 2025-02-09","29300 Guilligomarc H","Course n°1","","2025-02-09","Régional","132"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marjorie Delassus","C1D","111.33","79.97","93.53",""
"Camille Castryck","C1D","118.6","115.67","164.12",""
"Romane Regnier","C1D","123.67","165.56","213.34",""
"Lenaig Le Felt","C1D","241.14","522.32","1353.85",""
"Nicolas Gestin","C1H","97.56","78.02","95.15",""
"Mewen Debliquy","C1H","99.18","59.2","113.13",""
"Elouan Debliquy","C1H","101.51","107.12","138.98",""
"Glen Le Meur","C1H","103.48","88.9","160.84",""
"Corentin Oulhen","C1H","106.79","140.98","197.57",""
"Gireg Hamoniaux","C1H","108.78","202.11","219.65",""
"Tomy Dandonneau","C1H","109.81","132.52","231.08",""
"Francois Hemidy","C1H","115.95","379.6","299.21",""
"Joachim Berthelot","C1H","119.77","456.9","341.6",""
"Gurvan Piton","C1H","119.82","372.03","342.15",""
"Lubin Huet","C1H","119.89","384.1","342.93",""
"Axel Brossat","C1H","120.75","264.89","352.47",""
"Faysal Ali Zazou","C1H","121.03","290.57","355.58",""
"Timothe Balbous","C1H","121.74","345.09","363.46",""
"Marin Salmon","C1H","126.34","299.81","414.5",""
"Julien Darcillon","C1H","129.37","420.61","448.12",""
"Victor Julou Feger","C1H","130.41","442.02","459.66",""
"Louka Molina-combot","C1H","131.49","424.7","471.65",""
"Titouan Aussant","C1H","132.38","448.94","481.51",""
"Titouan Collet","C1H","133.34","582.72","492.16",""
"Louis Beaumois","C1H","134.08","463.3","500.38",""
"Paul Gestin","C1H","135.55","493.13","516.69",""
"Titouan Briand","C1H","142.26","481.59","591.15",""
"Florian Lohezic","C1H","145.69","565.09","629.2",""
"Loan Beaucourt","C1H","158.88","583.87","775.56",""
"Charly Line","C1H","164.75","500.87","840.7",""
"Julien Caillarec","C1H","179.74","595.38","1007.02",""
"Mael Rousset","C1H","217.85","659.26","1429.89",""
"Titouan Vigouroux","C1H","233.07","512.97","1598.76",""
"Cedric Collet","C1H","267.35","621.8","1979.14",""
"Theo Hebert Braud","C1H","283.54","958.23","2158.78",""
"Julien Darcillon-Francois Hemidy","C2H","127.12","370.25","359.04",""
"Lorin Dumont-Lubin Huet","C2H","142.2","496.6","518.76",""
"Victor Julou Feger-Loan Beaucourt","C2H","145.77","541.38","556.57",""
"Marjorie Delassus","K1D","110.95","115.76","156.57",""
"Léna Quemerais","K1D","111.92","128.21","166.57",""
"Romane Regnier","K1D","117.25","184.21","221.53",""
"Camille Castryck","K1D","124.98","163.39","301.23",""
"Eva Marchand","K1D","130.31","418.92","356.19",""
"Blandine Xhemajlji","K1D","133.38","383.49","387.83",""
"Lenaig Le Felt","K1D","135.57","520.09","410.41",""
"Klara Lubin","K1D","146.1","459.18","518.98",""
"Clara Perrot","K1D","148.05","429.47","539.09",""
"Sylviane Quemerais","K1D","154.12","577.99","601.67",""
"Kim Agnimo Seyer","K1D","173.7","339.41","803.55",""
"Zoe Guyomard","K1D","265.58","554.97","1750.88",""
"Anouck Collet","K1D","278.76","631.27","1886.76",""
"Ines Lekeux","K1D","353.16","608.51","2653.86",""
"Laurine Le Loc'h","K1D","359.71","945.84","2721.38",""
"Lise Berthele","K1D","613.32","943.18","5336.21",""
"Sterenn Morin Le Moing","K1D","630.81","1123.06","5516.54",""
"Axel Brossat","K1H","97.02","88.73","142.99",""
