"Manche de la Coupe de France National 3 Slalom - 60370 Hermes - Course n°1 - 2025-03-16","60370 Hermes","Course n°1","","2025-03-16","Nationale 3","246"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Amaurie Guilleret","C1D","108.71","319.73","347.69",""
"Nelia Barbosa","C1D","111.36","278.53","380.47",""
"Louann Demanet","C1D","118.67","508.57","470.89",""
"Lison Gautrelet","C1D","118.83","610.92","472.86",""
"Clemence Debayle","C1D","120.95","498.29","499.09",""
"Mia Rivrin-delfosse","C1D","126.06","535.09","562.29",""
"Margot Maheut","C1D","126.43","604.81","566.87",""
"Eva Martins","C1D","129.59","820.03","605.96",""
"Yona Heutte","C1D","131.19","705.25","625.75",""
"Jeanne Ben Hadj Azzouz","C1D","132.42","665.41","640.96",""
"Chloe Gatuingt","C1D","134.66","742.98","668.68",""
"Fany Marck","C1D","135.48","558.32","678.81",""
"Elise Masseline","C1D","135.77","657.86","682.41",""
"Camille Massois Brastel","C1D","137.63","891.23","705.41",""
"Chloé Nassif","C1D","138.92","746.67","721.37",""
"Lizie Lavignon","C1D","143.56","732.92","778.75",""
"Laura Demuru","C1D","151.48","800.82","876.72",""
"Camille Foulon","C1D","152.9","1266.1","894.29",""
"Louane Varlet","C1D","157.69","-","953.53",""
"Maeven Froger","C1D","158.3","793.11","961.09",""
"Leona Bronet","C1D","173.66","1531.75","1151.08",""
"Samael Govart","C1H","97.1","435.33","375.66",""
"Melvin Queudeville","C1H","103.18","628.23","461.61",""
"Antonin Trotta","C1H","103.83","497.43","470.8",""
"Enzo Cozette","C1H","103.9","517.57","471.79",""
"Guillaume Cahagne","C1H","105.11","583.89","488.9",""
"Alexandre Fallourd-marec","C1H","106.1","460.92","502.89",""
"Antoine Martin","C1H","106.38","496.1","506.84",""
"Jacob Sierota","C1H","107.06","483.3","516.46",""
"Enzo Clupty","C1H","108.05","661.94","530.46",""
"Corentin Jan","C1H","108.54","543.17","537.37",""
"Mathis Pomares","C1H","109.42","603.76","549.83",""
"Thibault Robillard","C1H","110.51","710.14","565.23",""
"Benoit Capitaine","C1H","111.66","745.37","581.49",""
"Augustin Braud","C1H","112.8","696.04","597.61",""
